# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.05          	-3.393099e-11	4.180484e+01	1.793559e-07	8.964400e-08	8.971186e-08
0.1           	2.973593e-08	-1.349706e+01	-1.579062e-07	-4.921715e-08	-1.086890e-07
0.15          	1.465089e-08	9.704789e+00	-5.137074e-08	-1.103448e-08	-4.033626e-08
0.2           	2.677261e-08	-3.369536e+00	-1.771412e-07	-6.179799e-08	-1.153432e-07
0.25          	4.851471e-09	4.844124e+00	-8.821404e-07	-4.362188e-07	-4.459217e-07
0.3           	1.773971e-08	-5.787639e-01	9.172541e-07	4.763668e-07	4.408873e-07
0.35          	-2.444266e-09	2.897671e+00	-1.496937e-06	-7.509127e-07	-7.460242e-07
0.4           	9.859833e-09	6.369262e-01	1.844936e-06	9.323276e-07	9.126079e-07
0.45          	-2.210163e-08	1.997944e+00	-1.636071e-06	-8.401371e-07	-7.959338e-07
0.5           	-6.735748e-09	1.163645e+00	2.714416e-06	1.350472e-06	1.363944e-06
0.55          	-4.217906e-08	1.600699e+00	-1.594112e-06	-8.392351e-07	-7.548770e-07
0.6           	-2.888322e-08	1.373041e+00	3.287968e-06	1.615101e-06	1.672867e-06
0.65          	-6.888731e-08	1.438268e+00	-1.090938e-06	-6.143563e-07	-4.765817e-07
0.7           	-6.049402e-08	1.443574e+00	4.817439e-06	2.348226e-06	2.469214e-06
0.75          	-1.081617e-07	1.388445e+00	-8.783866e-07	-5.473550e-07	-3.310315e-07
0.8           	-1.105657e-07	1.458981e+00	5.090839e-06	2.434854e-06	2.655985e-06
0.85          	-1.464321e-07	1.384228e+00	-6.102687e-07	-4.515664e-07	-1.587023e-07
0.9           	-1.662709e-07	1.458789e+00	6.387589e-06	3.027524e-06	3.360066e-06
0.95          	-2.119672e-07	1.396173e+00	3.807898e-07	-2.157227e-08	4.023621e-07
1             	-2.336067e-07	1.457113e+00	6.165235e-06	2.849011e-06	3.316224e-06
1.05          	-2.696975e-07	1.412553e+00	1.200652e-06	3.306284e-07	8.700234e-07
1.1           	-2.905953e-07	1.457826e+00	5.941514e-06	2.680162e-06	3.261352e-06
1.15          	-3.195627e-07	1.428945e+00	2.094232e-06	7.275534e-07	1.366679e-06
1.2           	-3.574110e-07	1.461154e+00	7.211226e-06	3.248202e-06	3.963024e-06
1.25          	-4.014991e-07	1.443682e+00	3.550118e-06	1.373560e-06	2.176558e-06
1.3           	-4.372458e-07	1.466232e+00	6.996798e-06	3.061153e-06	3.935645e-06
1.35          	-4.744301e-07	1.456435e+00	4.565296e-06	1.808218e-06	2.757078e-06
1.4           	-5.061352e-07	1.472128e+00	6.999638e-06	2.993684e-06	4.005954e-06
1.45          	-5.380336e-07	1.467100e+00	5.478735e-06	2.201334e-06	3.277401e-06
1.5           	-5.929348e-07	1.478088e+00	8.817452e-06	3.815791e-06	5.001661e-06
1.55          	-6.470682e-07	1.475855e+00	7.105959e-06	2.905911e-06	4.200048e-06
1.6           	-6.963535e-07	1.483517e+00	9.111344e-06	3.859319e-06	5.252026e-06
1.65          	-7.453015e-07	1.482851e+00	8.134305e-06	3.321851e-06	4.812454e-06
1.7           	-7.905363e-07	1.488172e+00	9.585277e-06	4.002102e-06	5.583175e-06
1.75          	-8.333341e-07	1.488201e+00	9.186122e-06	3.759727e-06	5.426395e-06
1.8           	-8.728850e-07	1.491802e+00	1.020718e-05	4.230707e-06	5.976477e-06
1.85          	-9.467903e-07	1.491990e+00	1.262672e-05	5.366568e-06	7.260149e-06
1.9           	-1.017441e-06	1.494204e+00	1.201287e-05	4.988995e-06	7.023878e-06
1.95          	-1.085246e-06	1.494388e+00	1.324196e-05	5.535732e-06	7.706224e-06
2             	-1.148796e-06	1.495539e+00	1.325113e-05	5.476768e-06	7.774359e-06
2.05          	-1.207740e-06	1.495462e+00	1.388899e-05	5.736753e-06	8.152233e-06
2.1           	-1.262306e-06	1.495718e+00	1.430553e-05	5.890461e-06	8.415073e-06
2.15          	-1.312517e-06	1.495195e+00	1.474736e-05	6.061161e-06	8.686194e-06
