# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.05          	((2.045602e+00 8.957804e-09 1.453708e-21) (4.464022e-02 9.988757e-12 1.644892e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.918011e-20 -2.533806e-19 1.934842e-16) (2.478510e-21 -5.290020e-21 -1.696743e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((-7.148608e-01 -1.110588e-08 4.377683e-21) (4.000764e-02 3.210576e-09 7.149216e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.662696e-21 8.855107e-20 -1.846302e-14) (2.109482e-22 -4.973869e-21 1.486815e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.15          	((4.416290e-01 -2.307218e-09 9.819746e-22) (4.361045e-02 -2.613187e-10 1.479629e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.546703e-21 -5.462958e-20 1.289933e-14) (1.057665e-21 -5.301566e-21 7.325316e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.2           	((-2.048632e-01 -1.135618e-08 4.713743e-21) (3.638642e-02 2.499123e-09 5.397554e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.287931e-21 2.530956e-20 -1.892143e-14) (6.167545e-22 -4.365105e-21 1.338649e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.25          	((2.033526e-01 -4.344888e-08 9.970104e-22) (3.885364e-02 -6.581463e-10 1.048311e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.644011e-21 -2.506688e-20 1.585599e-14) (8.505629e-22 -4.680500e-21 2.425577e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.3           	((-6.318325e-02 4.364625e-08 3.905243e-21) (3.424505e-02 2.216459e-09 3.165928e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.109199e-21 7.749967e-21 -1.529872e-14) (7.030056e-22 -4.017219e-21 8.870006e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.35          	((1.098950e-01 -7.445739e-08 1.486879e-21) (3.498858e-02 -3.894614e-10 5.288070e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.845165e-21 -1.349294e-20 1.645105e-14) (7.671180e-22 -4.143503e-21 -1.222297e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.4           	((-2.749437e-04 9.063814e-08 3.071111e-21) (3.212125e-02 1.608633e-09 8.245705e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.104948e-22 -5.825892e-24 -1.717553e-14) (7.244166e-22 -3.704816e-21 4.930088e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.45          	((6.794510e-02 -8.091226e-08 1.839623e-21) (3.195209e-02 -8.912830e-10 1.347932e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.358966e-21 -8.319486e-21 2.507820e-14) (7.265838e-22 -3.708882e-21 -1.105107e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.5           	((2.811474e-02 1.349852e-07 2.500396e-21) (3.006751e-02 7.356300e-10 -9.044154e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.379305e-23 -3.477354e-21 -3.243089e-14) (7.217981e-22 -3.415702e-21 -3.367550e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.55          	((5.053553e-02 -7.810861e-08 1.979320e-21) (2.949944e-02 -1.597002e-09 -7.758542e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.069057e-21 -6.179528e-21 2.844224e-14) (7.055059e-22 -3.356650e-21 -2.108981e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.6           	((4.048344e-02 1.645691e-07 2.149052e-21) (2.816859e-02 -1.706975e-10 -1.527561e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.717614e-22 -4.974975e-21 -4.105357e-14) (7.115501e-22 -3.152203e-21 -1.444120e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.65          	((4.444711e-02 -5.210639e-08 1.981167e-21) (2.746627e-02 -2.440517e-09 -1.224264e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.131998e-22 -5.429865e-21 2.304825e-14) (6.934547e-22 -3.066664e-21 -3.444389e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.7           	((4.571301e-02 2.423424e-07 1.932270e-21) (2.646567e-02 -1.470409e-09 -9.996364e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.609527e-22 -5.599815e-21 -5.381619e-14) (7.007986e-22 -2.916626e-21 -3.024647e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.75          	((4.366709e-02 -3.971494e-08 1.902186e-21) (2.575514e-02 -4.204387e-09 -3.352083e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.448290e-22 -5.330696e-21 9.547014e-15) (6.859953e-22 -2.824420e-21 -5.408097e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.8           	((4.799311e-02 2.574961e-07 1.785722e-21) (2.495594e-02 -2.954132e-09 5.169643e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.726062e-22 -5.867077e-21 -5.386345e-14) (6.917459e-22 -2.707213e-21 -5.528231e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.85          	((4.491773e-02 -2.495195e-08 1.792434e-21) (2.429369e-02 -5.561488e-09 1.560915e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.213779e-22 -5.479919e-21 -6.337437e-16) (6.810064e-22 -2.618427e-21 -7.321603e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.9           	((4.931022e-02 3.238859e-07 1.669159e-21) (2.362925e-02 -4.506435e-09 2.841501e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.388943e-22 -6.020346e-21 -6.142326e-14) (6.847974e-22 -2.522626e-21 -8.313485e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.95          	((4.677480e-02 2.621270e-08 1.675211e-21) (2.303385e-02 -7.173207e-09 4.218169e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.173541e-22 -5.703786e-21 -1.405443e-14) (6.773797e-22 -2.441465e-21 -1.059834e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
