# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-5.938685e-13	2.914868e+02	5.569433e-07	2.784710e-07	2.784722e-07
0.01          	9.952779e-11	1.818878e+00	-2.042327e-06	-1.021064e-06	-1.021263e-06
0.015         	1.218262e-10	4.403710e+00	4.865705e-07	2.434071e-07	2.431634e-07
0.02          	2.172437e-10	3.085636e+00	1.750158e-07	8.772512e-08	8.729064e-08
0.025         	2.095777e-10	2.542837e+00	2.840888e-07	1.422540e-07	1.418348e-07
0.03          	1.574752e-10	2.260423e+00	2.443207e-07	1.223178e-07	1.220029e-07
0.035         	7.507877e-11	2.101055e+00	2.568722e-07	1.285112e-07	1.283610e-07
0.04          	-2.711456e-11	2.003168e+00	2.539059e-07	1.269258e-07	1.269801e-07
0.045         	-1.462751e-10	1.937975e+00	2.565471e-07	1.281273e-07	1.284198e-07
0.05          	-2.785027e-10	1.891178e+00	2.771129e-07	1.382779e-07	1.388350e-07
0.055         	-4.231882e-10	1.855412e+00	2.816108e-07	1.403822e-07	1.412286e-07
0.06          	-5.784366e-10	1.826588e+00	2.479560e-07	1.233996e-07	1.245564e-07
0.065         	-7.434337e-10	1.802522e+00	2.892168e-07	1.438650e-07	1.453518e-07
0.07          	-9.180951e-10	1.781873e+00	2.615095e-07	1.298367e-07	1.316728e-07
0.075         	-1.101564e-09	1.763841e+00	2.854802e-07	1.416385e-07	1.438417e-07
0.08          	-1.292877e-09	1.747896e+00	1.748841e-07	8.614919e-08	8.873495e-08
0.085         	-1.489853e-09	1.733657e+00	2.506734e-07	1.238468e-07	1.268265e-07
0.09          	-1.694283e-09	1.720781e+00	2.270147e-07	1.118131e-07	1.152016e-07
0.095         	-1.904505e-09	1.709081e+00	1.820030e-07	8.909699e-08	9.290600e-08
0.1           	-2.120266e-09	1.698370e+00	2.823301e-07	1.390448e-07	1.432853e-07
0.105         	-2.343026e-09	1.688481e+00	1.946351e-07	9.497451e-08	9.966056e-08
0.11          	-2.570369e-09	1.679322e+00	2.809353e-07	1.378973e-07	1.430380e-07
0.115         	-2.804522e-09	1.670763e+00	2.066272e-07	1.005091e-07	1.061181e-07
0.12          	-3.041995e-09	1.662792e+00	1.243367e-07	5.912638e-08	6.521037e-08
0.125         	-3.281882e-09	1.655269e+00	1.901785e-07	9.180736e-08	9.837113e-08
0.13          	-3.526900e-09	1.648130e+00	2.359666e-07	1.144564e-07	1.215102e-07
0.135         	-3.775620e-09	1.641337e+00	9.282388e-08	4.263632e-08	5.018756e-08
