# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.141023e+01 -5.956706e-08 -7.966807e-23) (6.309703e-02 -4.454368e-11 -1.831106e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.269697e-18 -2.580390e-19 -4.073682e-16) (3.696286e-21 -5.778825e-20 5.575761e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-5.471720e-02 4.768990e-08 -6.359663e-22) (6.295004e-02 3.100614e-11 -2.222266e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.068104e-21 1.225008e-21 -3.499813e-16) (2.689447e-21 -4.375156e-20 1.057773e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((1.665068e-01 9.305926e-11 -6.025501e-22) (6.262296e-02 4.375853e-11 -2.725723e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.854292e-20 -3.773793e-21 -1.041541e-15) (2.694996e-21 -4.388338e-20 4.468711e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.272828e-01 1.762571e-09 -6.206989e-22) (6.235014e-02 4.634814e-11 -3.272971e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.418585e-20 -2.890662e-21 -7.904444e-16) (2.682209e-21 -4.371161e-20 8.865420e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.048920e-01 8.951724e-10 -6.326738e-22) (6.211455e-02 4.823424e-11 -3.827044e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.170008e-20 -2.387184e-21 -6.930881e-16) (2.671852e-21 -4.357089e-20 -6.438528e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((8.865289e-02 1.547232e-09 -6.422124e-22) (6.190686e-02 5.082807e-11 -4.385876e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.898001e-21 -2.022484e-21 -4.867339e-16) (2.662983e-21 -4.344542e-20 -1.321876e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((7.672208e-02 2.288153e-09 -6.498631e-22) (6.172082e-02 5.359549e-11 -4.948396e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.574343e-21 -1.754823e-21 -4.070485e-16) (2.655300e-21 -4.333120e-20 -1.635575e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((6.781780e-02 8.850575e-10 -6.561269e-22) (6.155207e-02 5.559970e-11 -5.513848e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.586439e-21 -1.555232e-21 -3.463141e-16) (2.648573e-21 -4.322544e-20 -1.769465e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((6.110066e-02 7.473589e-10 -6.613682e-22) (6.139740e-02 5.756293e-11 -6.081383e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.840891e-21 -1.404746e-21 -2.870171e-16) (2.642628e-21 -4.312622e-20 -1.744985e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((5.599655e-02 7.511527e-10 -6.658558e-22) (6.125444e-02 5.960790e-11 -6.649973e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.273868e-21 -1.290397e-21 -2.368008e-16) (2.637336e-21 -4.303214e-20 -1.698146e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((5.210012e-02 5.569969e-10 -6.698733e-22) (6.112135e-02 6.150380e-11 -7.217792e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.840292e-21 -1.203024e-21 -2.468440e-16) (2.632601e-21 -4.294219e-20 -1.810521e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((4.912354e-02 2.579598e-10 -6.720224e-22) (6.099668e-02 6.495609e-11 -7.796268e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.508808e-21 -1.136247e-21 -2.979633e-16) (2.628336e-21 -4.285558e-20 -2.382525e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((4.684754e-02 2.940269e-10 -6.740531e-22) (6.087927e-02 6.719363e-11 -8.383010e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.254659e-21 -1.085054e-21 -2.367169e-16) (2.624480e-21 -4.277169e-20 -1.762531e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((4.511013e-02 -1.972627e-10 -6.760453e-22) (6.076818e-02 6.884090e-11 -8.975263e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.059890e-21 -1.045786e-21 -4.035837e-16) (2.620981e-21 -4.269005e-20 -5.288490e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((4.379003e-02 6.067902e-10 -6.776387e-22) (6.066263e-02 7.095230e-11 -9.573555e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.911252e-21 -1.015743e-21 -3.120654e-16) (2.617794e-21 -4.261025e-20 7.414569e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
