# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.140849e+01 3.180119e-08 -8.047617e-23) (6.309476e-02 5.716961e-12 -1.690512e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.269504e-18 -2.579998e-19 -1.478496e-15) (3.695951e-21 -5.778485e-20 8.983873e-15) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-5.379411e-02 -1.850943e-08 -6.356865e-22) (6.294870e-02 3.109302e-11 -2.233240e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.966143e-21 1.204597e-21 3.026398e-16) (2.689519e-21 -4.375173e-20 7.640968e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((1.664498e-01 -4.688889e-09 -6.024834e-22) (6.262165e-02 2.596486e-11 -2.730153e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.853658e-20 -3.772500e-21 1.330181e-16) (2.694929e-21 -4.388237e-20 6.083892e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.272646e-01 -1.411989e-09 -6.206485e-22) (6.234879e-02 2.533777e-11 -3.276456e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.418376e-20 -2.890215e-21 -6.064417e-17) (2.682146e-21 -4.371062e-20 6.312762e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.048677e-01 1.348384e-09 -6.326277e-22) (6.211316e-02 2.675540e-11 -3.829930e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.169735e-20 -2.386614e-21 -4.683245e-16) (2.671786e-21 -4.356987e-20 4.549988e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((8.862772e-02 1.604819e-09 -6.421714e-22) (6.190543e-02 2.948076e-11 -4.388342e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.895169e-21 -2.021896e-21 -5.195446e-16) (2.662916e-21 -4.344438e-20 3.597816e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((7.669704e-02 1.378198e-09 -6.498245e-22) (6.171936e-02 3.240251e-11 -4.950578e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.571526e-21 -1.754238e-21 -3.800798e-16) (2.655232e-21 -4.333013e-20 2.991122e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((6.779346e-02 1.218799e-09 -6.560898e-22) (6.155057e-02 3.539480e-11 -5.515837e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.583700e-21 -1.554663e-21 -3.624810e-16) (2.648503e-21 -4.322435e-20 2.601911e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((6.107711e-02 7.397227e-10 -6.613318e-22) (6.139587e-02 3.776315e-11 -6.083240e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.838238e-21 -1.404194e-21 -2.932199e-16) (2.642556e-21 -4.312509e-20 2.365003e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((5.597388e-02 6.226391e-10 -6.658197e-22) (6.125288e-02 3.995791e-11 -6.651738e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.271312e-21 -1.289864e-21 -2.157528e-16) (2.637263e-21 -4.303100e-20 2.163118e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((5.207836e-02 1.032220e-09 -6.698380e-22) (6.111975e-02 4.214652e-11 -7.219484e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.837835e-21 -1.202510e-21 -2.872424e-16) (2.632527e-21 -4.294103e-20 1.819656e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((4.910274e-02 5.938992e-10 -6.719798e-22) (6.099505e-02 4.563152e-11 -7.797961e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.506460e-21 -1.135755e-21 -2.568483e-16) (2.628261e-21 -4.285439e-20 1.010732e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((4.682773e-02 5.950475e-10 -6.740145e-22) (6.087761e-02 4.793881e-11 -8.384679e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.252419e-21 -1.084584e-21 -2.663893e-16) (2.624404e-21 -4.277049e-20 1.398275e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((4.509125e-02 5.288499e-10 -6.760059e-22) (6.076649e-02 5.007613e-11 -8.976913e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.057753e-21 -1.045336e-21 -2.206529e-16) (2.620904e-21 -4.268882e-20 2.395218e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((4.377206e-02 3.314746e-10 -6.775989e-22) (6.066092e-02 5.199278e-11 -9.575189e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.909215e-21 -1.015313e-21 -2.738112e-16) (2.617716e-21 -4.260901e-20 3.427766e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
