# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-6.919345e-13	3.271380e+02	-1.508443e-06	-7.542223e-07	-7.542209e-07
0.01          	1.014759e-09	-5.669043e+01	3.137297e-06	1.569663e-06	1.567634e-06
0.015         	4.820704e-10	1.962542e+01	-1.581653e-06	-7.903443e-07	-7.913085e-07
0.02          	7.529603e-10	1.066335e+00	6.686831e-07	3.350945e-07	3.335886e-07
0.025         	3.985880e-10	5.429147e+00	2.661871e-07	1.334922e-07	1.326950e-07
0.03          	2.408085e-10	4.128813e+00	1.525938e-07	7.653772e-08	7.605610e-08
0.035         	-2.071538e-10	4.376068e+00	4.401453e-07	2.198655e-07	2.202798e-07
0.04          	-6.230048e-10	4.234696e+00	4.139355e-07	2.063448e-07	2.075908e-07
0.045         	-1.051578e-09	4.213544e+00	2.981902e-07	1.480435e-07	1.501467e-07
0.05          	-1.480468e-09	4.169070e+00	3.236886e-07	1.603638e-07	1.633248e-07
0.055         	-1.914899e-09	4.137736e+00	2.124362e-07	1.043032e-07	1.081330e-07
0.06          	-2.278169e-09	4.107944e+00	1.311821e-07	6.331286e-08	6.786920e-08
0.065         	-2.637703e-09	4.081628e+00	1.518594e-07	7.329200e-08	7.856740e-08
0.07          	-2.995232e-09	4.057447e+00	1.292713e-07	6.164044e-08	6.763090e-08
0.075         	-3.350114e-09	4.035129e+00	1.398220e-07	6.656090e-08	7.326113e-08
0.08          	-3.702219e-09	4.014258e+00	3.879156e-08	1.569356e-08	2.309800e-08
0.085         	-4.047518e-09	3.994565e+00	2.083769e-07	1.001410e-07	1.082360e-07
0.09          	-4.392543e-09	3.975801e+00	1.017496e-07	4.648228e-08	5.526736e-08
0.095         	-4.734970e-09	3.957817e+00	1.647685e-07	7.764928e-08	8.711922e-08
0.1           	-5.075980e-09	3.940480e+00	3.671910e-08	1.328357e-08	2.343553e-08
0.105         	-5.411836e-09	3.923730e+00	1.551976e-07	7.218698e-08	8.301065e-08
0.11          	-5.744455e-09	3.907426e+00	1.012503e-07	4.488072e-08	5.636963e-08
0.115         	-6.381616e-09	3.891505e+00	1.226516e-07	5.494417e-08	6.770740e-08
0.12          	-7.110292e-09	3.875928e+00	2.613680e-07	1.235737e-07	1.377943e-07
0.125         	-7.833593e-09	3.860709e+00	2.481807e-07	1.162567e-07	1.319239e-07
0.13          	-8.548845e-09	3.845802e+00	1.602544e-07	7.157836e-08	8.867606e-08
0.135         	-9.250228e-09	3.831120e+00	3.089876e-07	1.452436e-07	1.637440e-07
0.14          	-9.949584e-09	3.816680e+00	2.368672e-07	1.084840e-07	1.283832e-07
0.145         	-1.064062e-08	3.802454e+00	2.795939e-07	1.291563e-07	1.504376e-07
0.15          	-1.132597e-08	3.788450e+00	1.822688e-07	7.980843e-08	1.024604e-07
0.155         	-1.200110e-08	3.774668e+00	2.577797e-07	1.168887e-07	1.408909e-07
0.16          	-1.266922e-08	3.761043e+00	2.377927e-07	1.062271e-07	1.315655e-07
0.165         	-1.332989e-08	3.747590e+00	2.177178e-07	9.552902e-08	1.221888e-07
0.17          	-1.398363e-08	3.734308e+00	2.563486e-07	1.141907e-07	1.421579e-07
0.175         	-1.462986e-08	3.721194e+00	1.572897e-07	6.401500e-08	9.327472e-08
0.18          	-1.526611e-08	3.708250e+00	3.090174e-07	1.392426e-07	1.697748e-07
0.185         	-1.589751e-08	3.695409e+00	1.981156e-07	8.316031e-08	1.149553e-07
0.19          	-1.652130e-08	3.682725e+00	2.514934e-07	1.092254e-07	1.422680e-07
0.195         	-1.738162e-08	3.670091e+00	5.878873e-07	2.765620e-07	3.113253e-07
0.2           	-1.823919e-08	3.657710e+00	3.526800e-07	1.581008e-07	1.945792e-07
0.205         	-1.908432e-08	3.645475e+00	4.882573e-07	2.250443e-07	2.632129e-07
0.21          	-1.992137e-08	3.633339e+00	4.325320e-07	1.963446e-07	2.361873e-07
0.215         	-2.075034e-08	3.621333e+00	4.589084e-07	2.087039e-07	2.502045e-07
0.22          	-2.157133e-08	3.609452e+00	4.521811e-07	2.045192e-07	2.476619e-07
0.225         	-2.238401e-08	3.597725e+00	4.173762e-07	1.863041e-07	2.310721e-07
0.23          	-2.318582e-08	3.586094e+00	4.768098e-07	2.152191e-07	2.615907e-07
0.235         	-2.398166e-08	3.574567e+00	4.476509e-07	1.998438e-07	2.478071e-07
0.24          	-2.476931e-08	3.563160e+00	4.560284e-07	2.032449e-07	2.527835e-07
0.245         	-2.554944e-08	3.551861e+00	4.667359e-07	2.078185e-07	2.589174e-07
0.25          	-2.632207e-08	3.540665e+00	3.994326e-07	1.733942e-07	2.260383e-07
0.255         	-2.708535e-08	3.529673e+00	4.553911e-07	2.006102e-07	2.547809e-07
0.26          	-2.784002e-08	3.518720e+00	4.433953e-07	1.938577e-07	2.495377e-07
0.265         	-2.858733e-08	3.507887e+00	4.750695e-07	2.089474e-07	2.661221e-07
0.27          	-2.932686e-08	3.497165e+00	3.905134e-07	1.659299e-07	2.245836e-07
0.275         	-3.005778e-08	3.486569e+00	3.529085e-07	1.463965e-07	2.065120e-07
0.28          	-3.077848e-08	3.476096e+00	4.941662e-07	2.163046e-07	2.778616e-07
0.285         	-3.149381e-08	3.465671e+00	4.620730e-07	1.995427e-07	2.625303e-07
