# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.623054e+01 -7.535937e-08 3.208247e-21) (1.263600e-01 -6.279211e-11 2.829940e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.527082e-19 -2.010323e-18 -1.461959e-15) (-1.472316e-21 1.459873e-20 -3.313477e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-2.961114e+00 1.557388e-07 2.246729e-21) (1.265921e-01 1.126066e-09 2.599531e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.786692e-20 3.667640e-19 -5.791063e-16) (-4.244078e-22 5.176581e-21 5.073855e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((8.560502e-01 -7.964835e-08 2.042529e-21) (1.252209e-01 5.657076e-10 3.467585e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.061006e-21 -1.060297e-19 -2.069678e-15) (-6.106632e-22 7.041263e-21 2.410559e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((-7.014576e-02 3.260716e-08 2.377887e-21) (1.234625e-01 8.269945e-10 4.000788e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.622878e-22 8.687926e-21 4.812242e-15) (-5.627104e-22 6.550179e-21 3.764320e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.490038e-01 1.261792e-08 2.222053e-21) (1.224536e-01 6.914356e-10 4.687630e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.404892e-21 -1.845519e-20 -1.787317e-15) (-5.705728e-22 6.630863e-21 1.993119e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((8.500384e-02 6.882424e-09 2.277997e-21) (1.214368e-01 7.472671e-10 5.326229e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.011893e-22 -1.052836e-20 1.925421e-15) (-5.658806e-22 6.569082e-21 1.203850e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((9.823162e-02 2.130315e-08 2.250827e-21) (1.205718e-01 7.041139e-10 5.989608e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.271444e-22 -1.216651e-20 1.171208e-15) (-5.649551e-22 6.546060e-21 -1.035886e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((9.197248e-02 2.001648e-08 2.249972e-21) (1.197623e-01 6.803015e-10 6.651551e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.686761e-22 -1.139117e-20 1.222420e-15) (-5.632844e-22 6.513136e-21 -3.115146e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((9.167002e-02 1.427625e-08 2.239061e-21) (1.190072e-01 6.332661e-10 7.320040e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.667452e-22 -1.135355e-20 6.129736e-16) (-5.619547e-22 6.483141e-21 -5.257949e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((9.016478e-02 1.561308e-08 2.230391e-21) (1.182887e-01 5.713454e-10 7.992100e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.533803e-22 -1.116698e-20 4.491710e-16) (-5.606197e-22 6.452477e-21 -7.402386e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((8.928675e-02 1.010343e-08 2.220025e-21) (1.176001e-01 5.183793e-10 8.667711e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.460357e-22 -1.105807e-20 -4.458208e-16) (-5.593480e-22 6.422074e-21 -9.574450e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((8.846211e-02 6.101891e-09 2.209710e-21) (1.169351e-01 4.572113e-10 9.346322e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.392035e-22 -1.095577e-20 2.486916e-16) (-5.581090e-22 6.391652e-21 -1.139087e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((8.779160e-02 7.196447e-09 2.199087e-21) (1.162898e-01 3.965229e-10 1.002801e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.338559e-22 -1.087256e-20 -3.495218e-17) (-5.569048e-22 6.361273e-21 -1.318851e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((8.721110e-02 6.124228e-09 2.188260e-21) (1.156613e-01 3.393385e-10 1.071258e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.293794e-22 -1.080050e-20 -1.366370e-16) (-5.557320e-22 6.330915e-21 -1.497615e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((8.670930e-02 6.707485e-09 2.177293e-21) (1.150472e-01 2.836161e-10 1.139982e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.256706e-22 -1.073817e-20 -3.923539e-16) (-5.545901e-22 6.300582e-21 -1.675053e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((8.626705e-02 1.698630e-09 2.166134e-21) (1.144458e-01 2.409481e-10 1.208937e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.225533e-22 -1.068322e-20 -6.440286e-16) (-5.534781e-22 6.270272e-21 -1.851103e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.085         	((8.587237e-02 1.022817e-08 2.154892e-21) (1.138559e-01 1.906782e-10 1.278088e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.199142e-22 -1.063415e-20 -2.993382e-16) (-5.523957e-22 6.239987e-21 -2.023756e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((8.551388e-02 4.958805e-09 2.143936e-21) (1.132762e-01 1.286775e-10 1.347475e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.176049e-22 -1.058957e-20 -7.344977e-16) (-5.513435e-22 6.209732e-21 -2.196264e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095         	((8.518497e-02 8.165243e-09 2.132832e-21) (1.127059e-01 7.318200e-11 1.417072e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.155939e-22 -1.054864e-20 -5.321713e-16) (-5.503213e-22 6.179509e-21 -2.367480e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((8.487966e-02 1.811097e-09 2.121798e-21) (1.121443e-01 2.485751e-11 1.486865e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.138134e-22 -1.051064e-20 -1.048976e-15) (-5.493291e-22 6.149322e-21 -2.537980e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.105         	((8.459568e-02 7.778984e-09 2.110410e-21) (1.115908e-01 -1.910333e-11 1.556776e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.123085e-22 -1.047528e-20 -9.571563e-16) (-5.483637e-22 6.119171e-21 -2.705908e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.11          	((8.432636e-02 5.132800e-09 2.099499e-21) (1.110449e-01 -7.028280e-11 1.626828e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.109107e-22 -1.044173e-20 -8.687810e-16) (-5.474271e-22 6.089060e-21 -2.872219e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.115         	((8.406908e-02 6.308475e-09 2.088509e-21) (1.105062e-01 -1.758971e-10 1.697017e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.096368e-22 -1.040967e-20 1.399013e-15) (-5.465193e-22 6.058997e-21 -3.190822e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.12          	((8.382212e-02 1.332800e-08 2.077628e-21) (1.099743e-01 -2.596042e-10 1.767339e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.084740e-22 -1.037889e-20 2.213687e-16) (-5.456400e-22 6.028983e-21 -3.555148e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.125         	((8.358663e-02 1.276249e-08 2.066816e-21) (1.094488e-01 -3.534528e-10 1.837781e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.074210e-22 -1.034952e-20 1.045479e-16) (-5.447893e-22 5.999024e-21 -3.916797e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.13          	((8.336053e-02 8.448949e-09 2.055833e-21) (1.089296e-01 -4.362280e-10 1.908281e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.065061e-22 -1.032132e-20 -5.122342e-16) (-5.439646e-22 5.969119e-21 -4.274417e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.135         	((8.313975e-02 1.597407e-08 2.045394e-21) (1.084163e-01 -5.246910e-10 1.978887e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.055937e-22 -1.029378e-20 -1.315415e-16) (-5.431684e-22 5.939273e-21 -4.625113e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.14          	((8.292530e-02 1.246700e-08 2.034824e-21) (1.079087e-01 -6.236357e-10 2.049592e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.047525e-22 -1.026702e-20 -4.406739e-16) (-5.424004e-22 5.909493e-21 -4.974788e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.145         	((8.271595e-02 1.469949e-08 2.024479e-21) (1.074067e-01 -7.197927e-10 2.120390e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.039519e-22 -1.024089e-20 -5.266232e-16) (-5.416607e-22 5.879782e-21 -5.320306e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.15          	((8.251235e-02 9.921220e-09 2.014066e-21) (1.069102e-01 -8.077809e-10 2.191251e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.032289e-22 -1.021547e-20 -1.274789e-15) (-5.409468e-22 5.850143e-21 -5.662970e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.155         	((8.231457e-02 1.378015e-08 2.003630e-21) (1.064188e-01 -8.911622e-10 2.262131e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.025965e-22 -1.019077e-20 -1.037299e-15) (-5.402550e-22 5.820573e-21 -6.000541e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.16          	((8.211957e-02 1.287072e-08 1.993565e-21) (1.059326e-01 -9.810851e-10 2.333040e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.019539e-22 -1.016642e-20 -1.172531e-15) (-5.395885e-22 5.791077e-21 -6.334596e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.165         	((8.192817e-02 1.195665e-08 1.983439e-21) (1.054513e-01 -1.070761e-09 2.403988e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.013489e-22 -1.014251e-20 -1.478290e-15) (-5.389471e-22 5.761661e-21 -6.664932e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.17          	((8.174044e-02 1.397676e-08 1.973520e-21) (1.049750e-01 -1.159324e-09 2.474958e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.007768e-22 -1.011905e-20 -1.308948e-15) (-5.383303e-22 5.732327e-21 -6.991802e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.175         	((8.155635e-02 9.100079e-09 1.963539e-21) (1.045034e-01 -1.235594e-09 2.545931e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.002551e-22 -1.009605e-20 -2.168060e-15) (-5.377361e-22 5.703078e-21 -7.314907e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.18          	((8.137606e-02 1.676922e-08 1.953670e-21) (1.040364e-01 -1.318357e-09 2.616879e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.997822e-22 -1.007352e-20 -1.245221e-15) (-5.371628e-22 5.673913e-21 -7.633042e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.185         	((8.119636e-02 1.131530e-08 1.944167e-21) (1.035741e-01 -1.409519e-09 2.687842e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.992586e-22 -1.005106e-20 -1.981581e-15) (-5.366151e-22 5.644839e-21 -7.948735e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.19          	((8.102001e-02 1.407360e-08 1.934592e-21) (1.031163e-01 -1.498927e-09 2.758809e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.987806e-22 -1.002902e-20 -1.715884e-15) (-5.360912e-22 5.615861e-21 -8.260630e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.195         	((8.084163e-02 3.096585e-08 1.925210e-21) (1.026629e-01 -1.571489e-09 2.829780e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.982731e-22 -1.000672e-20 -1.722782e-15) (-5.355917e-22 5.586979e-21 -8.690794e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.2           	((8.067155e-02 1.928560e-08 1.915765e-21) (1.022139e-01 -1.651600e-09 2.900716e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.978575e-22 -9.985452e-21 -2.430939e-15) (-5.351134e-22 5.558200e-21 -9.119570e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
