# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.622844e+01 4.196656e-09 4.118322e-21) (1.263568e-01 2.940568e-11 2.841929e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.526883e-19 -2.010063e-18 -9.527799e-16) (-1.472168e-21 1.459758e-20 -1.070038e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-2.959286e+00 -4.344530e-08 2.040470e-21) (1.265880e-01 1.214452e-09 2.599102e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.784967e-20 3.665377e-19 -3.444307e-15) (-4.245077e-22 5.177319e-21 5.088141e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((8.553731e-01 3.528084e-08 2.085573e-21) (1.252187e-01 4.631270e-10 3.469403e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.054624e-21 -1.059459e-19 -2.310619e-15) (-6.106080e-22 7.040785e-21 2.623613e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((-7.004970e-02 -4.437451e-10 2.378204e-21) (1.234596e-01 8.362988e-10 4.002248e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.613751e-22 8.676031e-21 4.970720e-15) (-5.627006e-22 6.550062e-21 3.877702e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.489304e-01 1.747403e-08 2.229951e-21) (1.224506e-01 6.676315e-10 4.689090e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.404206e-21 -1.844610e-20 -1.787745e-15) (-5.705527e-22 6.630656e-21 2.141280e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((8.497445e-02 2.934002e-09 2.283916e-21) (1.214336e-01 7.171226e-10 5.327665e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.009171e-22 -1.052472e-20 1.583806e-15) (-5.658630e-22 6.568890e-21 1.479326e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((9.819808e-02 1.066049e-08 2.256901e-21) (1.205685e-01 6.777683e-10 5.991037e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.268314e-22 -1.216236e-20 2.564385e-15) (-5.649365e-22 6.545860e-21 -5.331312e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((9.194350e-02 9.228043e-09 2.255745e-21) (1.197589e-01 6.512306e-10 6.652972e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.684062e-22 -1.138759e-20 1.937465e-15) (-5.632655e-22 6.512933e-21 -2.400331e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((9.164317e-02 9.601482e-09 2.244677e-21) (1.190036e-01 6.078180e-10 7.321454e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.664960e-22 -1.135023e-20 1.574258e-15) (-5.619354e-22 6.482934e-21 -4.306153e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((9.014013e-02 1.059649e-08 2.235831e-21) (1.182851e-01 5.545022e-10 7.993506e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.531519e-22 -1.116392e-20 1.378957e-15) (-5.605998e-22 6.452267e-21 -6.197180e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((8.926397e-02 2.920117e-09 2.225305e-21) (1.175963e-01 5.094561e-10 8.669107e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.458247e-22 -1.105525e-20 7.337048e-16) (-5.593278e-22 6.421860e-21 -8.092227e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((8.843891e-02 5.691543e-09 2.214834e-21) (1.169313e-01 4.668401e-10 9.347685e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.389927e-22 -1.095290e-20 5.698626e-16) (-5.580882e-22 6.391434e-21 -9.942214e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((8.777022e-02 5.823849e-09 2.204071e-21) (1.162860e-01 4.131380e-10 1.002934e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.336607e-22 -1.086991e-20 4.850255e-16) (-5.568837e-22 6.361052e-21 -1.177925e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((8.719099e-02 6.153348e-09 2.193111e-21) (1.156574e-01 3.617112e-10 1.071388e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.291970e-22 -1.079800e-20 2.369479e-16) (-5.557107e-22 6.330691e-21 -1.360267e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((8.669039e-02 5.463036e-09 2.182019e-21) (1.150433e-01 3.092023e-10 1.140108e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.254992e-22 -1.073583e-20 6.408207e-17) (-5.545686e-22 6.300356e-21 -1.541298e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
