# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.368503e+01 -5.298120e-08 -1.093090e-20) (9.581348e-02 -4.697239e-11 5.722734e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.362281e-20 -2.916626e-18 -3.413009e-16) (-6.227087e-21 7.231593e-20 2.860368e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-9.717153e-01 8.049849e-08 6.330315e-21) (9.602644e-02 4.819192e-10 5.722061e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.228346e-21 2.070819e-19 -8.421498e-16) (-2.932722e-21 4.633015e-20 2.199671e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((3.112372e-01 -2.227728e-08 3.728175e-21) (9.490649e-02 3.694092e-10 7.149619e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.673584e-21 -6.633328e-20 -1.395172e-15) (-3.154015e-21 4.829881e-20 1.463781e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.146045e-01 2.421634e-09 4.150993e-21) (9.407085e-02 3.876618e-10 8.541641e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.155198e-22 -2.443179e-20 1.234036e-15) (-3.087109e-21 4.768622e-20 1.498528e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.034813e-01 1.022643e-08 4.148046e-21) (9.340036e-02 4.387570e-10 9.983527e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.556016e-22 -2.206027e-20 1.394802e-16) (-3.064105e-21 4.744358e-20 1.208462e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((8.664917e-02 1.443900e-08 4.183709e-21) (9.283300e-02 4.878023e-10 1.144394e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.653506e-22 -1.847284e-20 5.174670e-16) (-3.045241e-21 4.721554e-20 6.250885e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((7.836235e-02 1.619995e-08 4.207903e-21) (9.233993e-02 5.149486e-10 1.292254e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.212825e-22 -1.670598e-20 -5.974101e-16) (-3.031205e-21 4.702204e-20 1.025385e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((7.340116e-02 1.574468e-08 4.227384e-21) (9.190084e-02 5.317273e-10 1.441476e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.952091e-22 -1.564766e-20 -9.118149e-16) (-3.019912e-21 4.684921e-20 -4.252743e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((7.045610e-02 8.018613e-09 4.240957e-21) (9.150231e-02 5.521400e-10 1.591631e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.799205e-22 -1.501883e-20 -1.293415e-15) (-3.010424e-21 4.669153e-20 -9.554433e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((6.863336e-02 2.043971e-08 4.251106e-21) (9.113489e-02 5.531026e-10 1.742479e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.705385e-22 -1.462906e-20 -1.250924e-15) (-3.002139e-21 4.654503e-20 -1.443141e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((6.745736e-02 1.220479e-08 4.258702e-21) (9.079180e-02 5.516018e-10 1.893892e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.645081e-22 -1.437700e-20 -1.846862e-15) (-2.994686e-21 4.640705e-20 -1.936412e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((6.665970e-02 1.504783e-08 4.262945e-21) (9.046809e-02 5.479232e-10 2.045688e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.603871e-22 -1.420548e-20 -1.726592e-15) (-2.987827e-21 4.627574e-20 -2.452348e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((6.608898e-02 1.323754e-08 4.265129e-21) (9.016004e-02 5.414854e-10 2.197761e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.574207e-22 -1.408224e-20 -2.043118e-15) (-2.981406e-21 4.614977e-20 -2.981885e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((6.565892e-02 1.325339e-08 4.265393e-21) (8.986483e-02 5.332421e-10 2.350027e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.551838e-22 -1.398890e-20 -1.928375e-15) (-2.975320e-21 4.602818e-20 -3.528783e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((6.531988e-02 1.255394e-08 4.264246e-21) (8.958028e-02 5.225121e-10 2.502422e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.534354e-22 -1.391488e-20 -2.077856e-15) (-2.969499e-21 4.591023e-20 -4.092424e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((6.504311e-02 1.275331e-08 4.261983e-21) (8.930470e-02 5.097713e-10 2.654905e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.520348e-22 -1.385404e-20 -2.189259e-15) (-2.963894e-21 4.579536e-20 -4.673681e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.085         	((6.481144e-02 1.368827e-08 4.258894e-21) (8.903676e-02 4.962412e-10 2.807446e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.508999e-22 -1.380272e-20 -2.214823e-15) (-2.958469e-21 4.568315e-20 -5.274665e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((6.461408e-02 1.317195e-08 4.255350e-21) (8.877540e-02 4.797165e-10 2.960041e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.499869e-22 -1.375862e-20 -2.176265e-15) (-2.953199e-21 4.557326e-20 -5.898145e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095         	((6.444784e-02 8.750078e-09 4.248675e-21) (8.851976e-02 4.730671e-10 3.112457e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.491093e-22 -1.372114e-20 -2.650701e-15) (-2.948065e-21 4.546543e-20 -6.548264e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((6.430656e-02 4.503051e-09 4.242622e-21) (8.826913e-02 4.514505e-10 3.264722e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.483941e-22 -1.368892e-20 -1.843037e-15) (-2.943052e-21 4.535942e-20 -6.875600e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.105         	((6.418318e-02 3.492992e-09 4.236637e-21) (8.802297e-02 4.305682e-10 3.416867e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.478166e-22 -1.366041e-20 -1.867352e-15) (-2.938149e-21 4.525507e-20 -7.202042e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
