# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.368327e+01 9.548945e-09 -1.429758e-20) (9.581059e-02 2.166472e-11 5.695387e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.361333e-20 -2.916251e-18 -3.312797e-16) (-6.226511e-21 7.231177e-20 -4.123554e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-9.705383e-01 -2.850167e-08 6.764433e-21) (9.602411e-02 4.364071e-10 5.730924e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.221984e-21 2.068313e-19 -1.360414e-15) (-2.932982e-21 4.633110e-20 2.199900e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((3.109886e-01 4.206123e-08 3.683046e-21) (9.490461e-02 3.239671e-10 7.153341e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.672233e-21 -6.628033e-20 -1.646303e-15) (-3.153879e-21 4.829736e-20 1.519663e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.145835e-01 -7.364208e-10 4.135479e-21) (9.406879e-02 3.681953e-10 8.545549e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.154081e-22 -2.442729e-20 1.383328e-15) (-3.087029e-21 4.768510e-20 1.531063e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.034411e-01 6.077560e-09 4.125843e-21) (9.339822e-02 4.157158e-10 9.987240e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.553868e-22 -2.205169e-20 1.250161e-16) (-3.064018e-21 4.744238e-20 1.243876e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((8.661523e-02 6.054949e-09 4.161225e-21) (9.283075e-02 4.448746e-10 1.144758e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.651663e-22 -1.846559e-20 2.916085e-16) (-3.045154e-21 4.721431e-20 9.187229e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((7.833163e-02 4.968451e-09 4.185834e-21) (9.233757e-02 4.578397e-10 1.292614e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.211122e-22 -1.669943e-20 9.005972e-17) (-3.031115e-21 4.702075e-20 5.738882e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((7.337327e-02 5.264020e-09 4.206137e-21) (9.189840e-02 4.631808e-10 1.441832e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.950520e-22 -1.564171e-20 -8.150913e-17) (-3.019821e-21 4.684789e-20 2.094547e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((7.043063e-02 -2.196668e-09 4.220572e-21) (9.149978e-02 4.758902e-10 1.591985e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.797748e-22 -1.501340e-20 -4.749407e-16) (-3.010331e-21 4.669017e-20 -1.629893e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((6.860982e-02 1.063101e-08 4.231533e-21) (9.113228e-02 4.711557e-10 1.742830e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.704026e-22 -1.462404e-20 -3.259146e-16) (-3.002045e-21 4.654364e-20 -5.203994e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((6.743550e-02 1.338610e-09 4.239814e-21) (9.078913e-02 4.667611e-10 1.894241e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.643808e-22 -1.437234e-20 -5.796670e-16) (-2.994590e-21 4.640563e-20 -8.911416e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((6.663932e-02 5.802789e-09 4.244646e-21) (9.046535e-02 4.607213e-10 2.046035e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.602671e-22 -1.420113e-20 -5.374386e-16) (-2.987729e-21 4.627429e-20 -1.263045e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((6.606984e-02 4.065741e-09 4.247326e-21) (9.015724e-02 4.524489e-10 2.198106e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.573071e-22 -1.407816e-20 -5.652475e-16) (-2.981307e-21 4.614830e-20 -1.643040e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((6.564080e-02 4.150663e-09 4.248020e-21) (8.986196e-02 4.435674e-10 2.350369e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.550755e-22 -1.398504e-20 -5.427694e-16) (-2.975219e-21 4.602668e-20 -2.026122e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((6.530274e-02 3.936301e-09 4.247227e-21) (8.957736e-02 4.332258e-10 2.502762e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.533321e-22 -1.391122e-20 -6.524165e-16) (-2.969397e-21 4.590870e-20 -2.413071e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((6.502685e-02 4.323921e-09 4.245267e-21) (8.930173e-02 4.217074e-10 2.655242e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.519361e-22 -1.385057e-20 -6.188058e-16) (-2.963790e-21 4.579380e-20 -2.803456e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.085         	((6.479594e-02 4.615360e-09 4.242456e-21) (8.903374e-02 4.090882e-10 2.807780e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.508053e-22 -1.379941e-20 -7.643651e-16) (-2.958364e-21 4.568157e-20 -3.198305e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((6.459928e-02 4.993787e-09 4.239160e-21) (8.877233e-02 3.946153e-10 2.960372e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.498959e-22 -1.375546e-20 -5.847054e-16) (-2.953093e-21 4.557166e-20 -3.599056e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095         	((6.443369e-02 2.322493e-10 4.232698e-21) (8.851665e-02 3.896976e-10 3.112784e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.490210e-22 -1.371812e-20 -1.095333e-15) (-2.947958e-21 4.546381e-20 -4.005782e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((6.429130e-02 4.110939e-09 4.226885e-21) (8.826600e-02 3.822713e-10 3.265042e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.483116e-22 -1.368564e-20 -8.809475e-16) (-2.942944e-21 4.535779e-20 -4.395828e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.105         	((6.416873e-02 3.891915e-09 4.221086e-21) (8.801981e-02 3.716364e-10 3.417180e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.477376e-22 -1.365730e-20 -6.968302e-16) (-2.938040e-21 4.525343e-20 -4.786582e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.11          	((6.406384e-02 3.760477e-09 4.214926e-21) (8.777763e-02 3.607996e-10 3.569183e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.472609e-22 -1.363267e-20 -1.040855e-15) (-2.933236e-21 4.515058e-20 -5.177877e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.115         	((6.397460e-02 4.077640e-09 4.208468e-21) (8.753905e-02 3.499795e-10 3.721032e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.468696e-22 -1.361132e-20 -7.155084e-16) (-2.928526e-21 4.504913e-20 -5.569654e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.12          	((6.389905e-02 4.133566e-09 4.201751e-21) (8.730377e-02 3.389945e-10 3.872707e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.465524e-22 -1.359283e-20 -1.032815e-15) (-2.923904e-21 4.494898e-20 -5.962402e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.125         	((6.383612e-02 -4.484985e-10 4.194425e-21) (8.707150e-02 3.355450e-10 4.024158e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.462803e-22 -1.357698e-20 -1.271362e-15) (-2.919366e-21 4.485002e-20 -6.354327e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.13          	((6.378572e-02 8.445917e-09 4.185596e-21) (8.684200e-02 3.226242e-10 4.175250e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.459844e-22 -1.356381e-20 -6.096794e-16) (-2.914908e-21 4.475220e-20 -6.739167e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.135         	((6.374165e-02 1.105781e-09 4.179587e-21) (8.661509e-02 3.116111e-10 4.326192e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.458772e-22 -1.355188e-20 -1.243713e-15) (-2.910524e-21 4.465545e-20 -7.123452e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.14          	((6.370722e-02 4.950172e-09 4.171531e-21) (8.639059e-02 3.001270e-10 4.476863e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.457351e-22 -1.354200e-20 -7.795238e-16) (-2.906215e-21 4.455971e-20 -7.510184e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.145         	((6.367918e-02 3.971420e-09 4.164297e-21) (8.616836e-02 2.875036e-10 4.627294e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.456690e-22 -1.353342e-20 -1.008266e-15) (-2.901976e-21 4.446493e-20 -7.896931e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.15          	((6.365736e-02 4.292749e-09 4.156596e-21) (8.594825e-02 2.756158e-10 4.777459e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.456253e-22 -1.352614e-20 -8.698939e-16) (-2.897805e-21 4.437107e-20 -8.285241e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.155         	((6.364068e-02 4.475701e-09 4.148932e-21) (8.573017e-02 2.634976e-10 4.927349e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.456169e-22 -1.351992e-20 -9.607524e-16) (-2.893701e-21 4.427810e-20 -8.674414e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.16          	((6.362834e-02 3.928181e-09 4.141200e-21) (8.551401e-02 2.511417e-10 5.076956e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.456379e-22 -1.351459e-20 -1.015085e-15) (-2.889663e-21 4.418597e-20 -9.064701e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.165         	((6.361960e-02 4.396392e-09 4.133496e-21) (8.529969e-02 2.385841e-10 5.226276e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.456887e-22 -1.350999e-20 -8.772688e-16) (-2.885687e-21 4.409466e-20 -9.455646e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.17          	((6.361390e-02 3.714806e-09 4.125092e-21) (8.508712e-02 2.267040e-10 5.375278e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.457726e-22 -1.350601e-20 -8.967604e-16) (-2.881773e-21 4.400414e-20 -9.848714e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.175         	((6.361034e-02 1.092056e-09 4.117074e-21) (8.487624e-02 2.187660e-10 5.523979e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.458948e-22 -1.350245e-20 -1.218918e-15) (-2.877920e-21 4.391439e-20 -1.024124e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.18          	((6.361433e-02 3.625554e-09 4.106489e-21) (8.466697e-02 2.114308e-10 5.672136e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.457795e-22 -1.350061e-20 -1.052999e-15) (-2.874132e-21 4.382538e-20 -1.063107e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.185         	((6.361700e-02 2.637325e-09 4.098081e-21) (8.445927e-02 2.005449e-10 5.819886e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.458388e-22 -1.349838e-20 -9.282243e-16) (-2.870403e-21 4.373708e-20 -1.101591e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.19          	((6.362126e-02 3.710692e-09 4.089461e-21) (8.425308e-02 1.897790e-10 5.967246e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.458999e-22 -1.349648e-20 -1.011965e-15) (-2.866731e-21 4.364948e-20 -1.140033e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.195         	((6.362635e-02 3.781778e-09 4.080834e-21) (8.404835e-02 1.545284e-10 6.114201e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.459676e-22 -1.349473e-20 3.308126e-16) (-2.863117e-21 4.356255e-20 -1.257332e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.2           	((6.363271e-02 3.626886e-09 4.072218e-21) (8.384506e-02 1.224439e-10 6.260753e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.460418e-22 -1.349324e-20 2.174482e-16) (-2.859558e-21 4.347629e-20 -1.373809e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.205         	((6.363980e-02 3.872027e-09 4.063569e-21) (8.364315e-02 9.095014e-11 6.406896e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.461204e-22 -1.349189e-20 5.223737e-17) (-2.856056e-21 4.339068e-20 -1.489468e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.21          	((6.364742e-02 3.895732e-09 4.054900e-21) (8.344259e-02 6.016037e-11 6.552623e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.462022e-22 -1.349064e-20 -1.325356e-16) (-2.852607e-21 4.330570e-20 -1.604318e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.215         	((6.365851e-02 -1.209572e-09 4.044664e-21) (8.324334e-02 3.882584e-11 6.697790e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.461464e-22 -1.349018e-20 -5.861544e-16) (-2.849216e-21 4.322134e-20 -1.718209e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.22          	((6.366620e-02 8.628980e-09 4.036614e-21) (8.304539e-02 9.037277e-12 6.842556e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.462621e-22 -1.348890e-20 1.303406e-16) (-2.845876e-21 4.313758e-20 -1.830310e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.225         	((6.367526e-02 1.819923e-09 4.027630e-21) (8.284869e-02 -2.045016e-11 6.986875e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.463147e-22 -1.348794e-20 -4.721315e-16) (-2.842589e-21 4.305442e-20 -1.942653e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.23          	((6.368353e-02 5.993025e-09 4.019156e-21) (8.265324e-02 -4.913904e-11 7.130768e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.464036e-22 -1.348677e-20 -1.885879e-16) (-2.839352e-21 4.297183e-20 -2.053576e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.235         	((6.369193e-02 4.401735e-09 4.010453e-21) (8.245899e-02 -7.833327e-11 7.274222e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.464806e-22 -1.348563e-20 -6.187423e-16) (-2.836166e-21 4.288982e-20 -2.164023e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.24          	((6.370000e-02 5.274889e-09 4.001845e-21) (8.226594e-02 -1.070659e-10 7.417234e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.465646e-22 -1.348441e-20 -3.934453e-16) (-2.833030e-21 4.280837e-20 -2.273548e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.245         	((6.370777e-02 5.084939e-09 3.993216e-21) (8.207405e-02 -1.357610e-10 7.559800e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.466493e-22 -1.348311e-20 -5.185339e-16) (-2.829942e-21 4.272747e-20 -2.382339e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.25          	((6.371518e-02 4.017858e-09 3.984146e-21) (8.188332e-02 -1.641457e-10 7.701897e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.467356e-22 -1.348172e-20 -6.997284e-16) (-2.826903e-21 4.264711e-20 -2.490347e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.255         	((6.372190e-02 7.063114e-09 3.975858e-21) (8.169371e-02 -1.926791e-10 7.843553e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.468252e-22 -1.348018e-20 -5.568528e-16) (-2.823911e-21 4.256728e-20 -2.597452e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.26          	((6.372818e-02 4.391820e-09 3.967035e-21) (8.150523e-02 -2.210073e-10 7.984744e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.469195e-22 -1.347853e-20 -6.341679e-16) (-2.820966e-21 4.248797e-20 -2.704013e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.265         	((6.373353e-02 7.764689e-09 3.958973e-21) (8.131784e-02 -2.499350e-10 8.125501e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.470223e-22 -1.347666e-20 -8.322061e-16) (-2.818066e-21 4.240918e-20 -2.809595e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.27          	((6.373811e-02 5.092227e-09 3.950352e-21) (8.113155e-02 -2.793398e-10 8.265807e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.471416e-22 -1.347462e-20 -5.357068e-16) (-2.815211e-21 4.233090e-20 -2.914695e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.275         	((6.374455e-02 2.200014e-09 3.941453e-21) (8.094632e-02 -3.019222e-10 8.405596e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.471571e-22 -1.347303e-20 -1.359792e-15) (-2.812404e-21 4.225311e-20 -3.018725e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.28          	((6.375089e-02 1.024693e-08 3.931421e-21) (8.076216e-02 -3.153706e-10 8.544772e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.471198e-22 -1.347143e-20 -1.128831e-15) (-2.809648e-21 4.217581e-20 -3.171322e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.285         	((6.375584e-02 1.411601e-08 3.923045e-21) (8.057904e-02 -3.344988e-10 8.683445e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.471876e-22 -1.346950e-20 -1.279000e-15) (-2.806935e-21 4.209899e-20 -3.323167e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
