# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	1.847486e-10	3.496846e+02	-1.172465e-06	-5.860479e-07	-5.864174e-07
0.01          	-3.361362e-08	-6.001975e+01	-1.219807e-05	-6.132651e-06	-6.065424e-06
0.015         	-1.831452e-09	2.381631e+01	-4.187341e-06	-2.095502e-06	-2.091839e-06
0.02          	-2.528286e-08	1.847787e+00	-1.545962e-05	-7.755095e-06	-7.704529e-06
0.025         	1.368881e-08	7.982955e+00	-2.423407e-07	-1.074815e-07	-1.348592e-07
0.03          	4.079889e-08	5.880538e+00	-2.276859e-05	-1.134350e-05	-1.142509e-05
0.035         	8.947903e-08	6.395891e+00	-1.320830e-06	-5.709357e-07	-7.498938e-07
0.04          	1.373529e-07	6.084345e+00	-1.159127e-05	-5.658284e-06	-5.932990e-06
0.045         	1.823588e-07	6.060949e+00	-4.740302e-06	-2.187792e-06	-2.552510e-06
0.05          	2.258033e-07	5.954093e+00	-6.160262e-06	-2.854328e-06	-3.305934e-06
0.055         	2.754481e-07	5.883948e+00	-1.593615e-05	-7.692625e-06	-8.243522e-06
0.06          	3.248129e-07	5.808647e+00	-1.327416e-05	-6.312268e-06	-6.961894e-06
0.065         	3.734503e-07	5.740609e+00	-1.195238e-05	-5.602741e-06	-6.349642e-06
0.07          	4.214677e-07	5.674670e+00	-1.240005e-05	-5.778559e-06	-6.621494e-06
0.075         	4.689440e-07	5.611803e+00	-1.077082e-05	-4.916464e-06	-5.854352e-06
0.08          	5.347288e-07	5.551013e+00	-2.957033e-05	-1.425044e-05	-1.531989e-05
0.085         	6.011514e-07	5.492484e+00	-2.418973e-05	-1.149371e-05	-1.269601e-05
0.09          	6.673536e-07	5.435762e+00	-2.680435e-05	-1.273482e-05	-1.406953e-05
0.095         	7.336499e-07	5.380753e+00	-2.047194e-05	-9.502321e-06	-1.096962e-05
0.1           	7.991865e-07	5.327271e+00	-2.551687e-05	-1.195925e-05	-1.355762e-05
0.105         	8.651074e-07	5.275274e+00	-2.138782e-05	-9.828801e-06	-1.155902e-05
0.11          	9.452655e-07	5.224569e+00	-1.336368e-05	-5.736577e-06	-7.627108e-06
0.115         	1.024570e-06	5.175197e+00	-1.421488e-05	-6.082868e-06	-8.132009e-06
0.12          	1.103197e-06	5.127045e+00	-1.436812e-05	-6.080864e-06	-8.287258e-06
0.125         	1.222467e-06	5.079832e+00	-3.819689e-05	-1.787598e-05	-2.032091e-05
0.13          	1.341476e-06	5.033997e+00	-3.362917e-05	-1.547311e-05	-1.815606e-05
0.135         	1.459439e-06	4.989215e+00	-3.299727e-05	-1.503920e-05	-1.795807e-05
0.14          	1.575812e-06	4.945447e+00	-3.192144e-05	-1.438491e-05	-1.753653e-05
0.145         	1.691216e-06	4.902676e+00	-3.062133e-05	-1.361945e-05	-1.700188e-05
0.15          	1.805414e-06	4.860911e+00	-2.810387e-05	-1.224652e-05	-1.585735e-05
0.155         	1.917795e-06	4.819983e+00	-2.847427e-05	-1.231934e-05	-1.615493e-05
0.16          	2.029827e-06	4.780066e+00	-2.995255e-05	-1.294645e-05	-1.700610e-05
0.165         	2.139954e-06	4.740989e+00	-2.583794e-05	-1.077902e-05	-1.505892e-05
