# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.729530e+01 -5.857523e-08 3.324661e-21) (1.889308e-01 -4.803965e-11 -2.148144e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.627243e-19 -2.142205e-18 -4.569282e-15) (9.176777e-21 -4.207169e-20 9.242002e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-3.187884e+00 -5.318120e-07 2.943928e-21) (1.868966e-01 -7.809172e-08 -6.754694e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.999608e-20 3.948526e-19 -3.950718e-13) (3.168999e-21 -3.529029e-20 -1.680286e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((1.006208e+00 -1.765619e-07 2.436482e-21) (1.846082e-01 -3.280519e-08 -9.528560e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.481273e-21 -1.246268e-19 4.002113e-13) (4.272087e-21 -3.619331e-20 -9.197280e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((-8.734167e-02 -7.053755e-07 2.948664e-21) (1.797310e-01 -6.760566e-08 -8.987821e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.217465e-22 1.081809e-20 -3.927148e-13) (4.050440e-21 -3.490928e-20 -1.263750e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((2.219015e-01 1.263557e-08 2.645575e-21) (1.772463e-01 -2.475261e-08 -9.248182e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.098201e-21 -2.748305e-20 2.219213e-13) (4.141752e-21 -3.452562e-20 6.842188e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.197143e-01 -1.102011e-06 2.743179e-21) (1.743126e-01 -3.641896e-08 -9.325463e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.132872e-21 -1.482674e-20 -2.636714e-13) (4.166247e-21 -3.391733e-20 2.040208e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((1.479462e-01 -5.056032e-08 2.667098e-21) (1.718484e-01 -1.548116e-08 -9.446864e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.402313e-21 -1.832291e-20 -9.939994e-14) (4.204220e-21 -3.344074e-20 4.474051e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.347720e-01 -5.714675e-07 2.659816e-21) (1.694453e-01 -8.096197e-09 -9.555994e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.278607e-21 -1.669110e-20 -1.888869e-13) (4.238180e-21 -3.296011e-20 6.867836e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((1.358563e-01 -2.427960e-07 2.625654e-21) (1.671911e-01 5.780913e-09 -9.664156e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.290874e-21 -1.682506e-20 -1.115858e-13) (4.270287e-21 -3.251225e-20 9.118052e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((1.326811e-01 -3.255477e-07 2.601741e-21) (1.650235e-01 1.753459e-08 -9.768646e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.262342e-21 -1.643155e-20 -1.235765e-13) (4.300411e-21 -3.207889e-20 1.129029e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
