# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	2.100834e-13	2.755833e+02	-2.477595e-07	-1.238795e-07	-1.238800e-07
0.01          	2.781069e-10	-1.748866e+01	4.047949e-07	2.026756e-07	2.021194e-07
0.015         	1.645529e-10	8.118094e+00	-1.212357e-07	-6.045331e-08	-6.078242e-08
0.02          	2.453186e-10	4.173103e+00	3.703361e-08	1.876212e-08	1.827149e-08
0.025         	2.486691e-10	3.936934e+00	7.991093e-08	4.020414e-08	3.970680e-08
0.03          	2.423772e-10	3.589060e+00	-3.448962e-08	-1.700243e-08	-1.748719e-08
0.035         	2.260061e-10	3.413528e+00	6.890703e-08	3.467952e-08	3.422751e-08
0.04          	1.352774e-10	3.305590e+00	1.501081e-07	7.518933e-08	7.491877e-08
0.045         	2.728534e-11	3.238760e+00	1.574063e-07	7.873044e-08	7.867587e-08
0.05          	-9.182108e-11	3.194993e+00	1.287926e-07	6.430448e-08	6.448812e-08
0.055         	-2.187165e-10	3.164641e+00	1.477681e-07	7.366531e-08	7.410275e-08
0.06          	-3.516393e-10	3.142241e+00	1.520249e-07	7.566080e-08	7.636407e-08
0.065         	-4.888721e-10	3.124687e+00	1.648120e-07	8.191712e-08	8.289487e-08
0.07          	-6.293012e-10	3.110199e+00	1.682887e-07	8.351506e-08	8.477366e-08
0.075         	-7.720742e-10	3.097744e+00	1.641822e-07	8.131901e-08	8.286315e-08
0.08          	-9.166563e-10	3.086711e+00	1.573118e-07	7.773925e-08	7.957256e-08
0.085         	-1.062555e-09	3.076731e+00	1.466665e-07	7.227068e-08	7.439579e-08
0.09          	-1.209468e-09	3.067568e+00	1.309393e-07	6.426017e-08	6.667911e-08
0.095         	-1.357268e-09	3.059141e+00	1.353856e-07	6.633552e-08	6.905005e-08
0.1           	-1.505341e-09	3.051278e+00	1.259993e-07	6.149430e-08	6.450499e-08
0.105         	-1.653555e-09	3.043901e+00	1.291984e-07	6.294567e-08	6.625277e-08
0.11          	-1.801985e-09	3.036958e+00	1.731483e-07	8.477217e-08	8.837614e-08
0.115         	-1.950774e-09	3.030399e+00	1.409274e-07	6.851291e-08	7.241446e-08
0.12          	-2.099446e-09	3.024181e+00	1.566903e-07	7.624568e-08	8.044457e-08
0.125         	-2.248189e-09	3.018274e+00	1.745874e-07	8.504553e-08	8.954191e-08
0.13          	-2.397086e-09	3.012674e+00	1.486336e-07	7.191974e-08	7.671391e-08
0.135         	-2.545408e-09	3.007254e+00	1.528977e-07	7.390346e-08	7.899428e-08
0.14          	-2.693599e-09	3.002074e+00	1.508095e-07	7.271116e-08	7.809836e-08
0.145         	-2.841327e-09	2.997066e+00	1.572329e-07	7.577512e-08	8.145777e-08
0.15          	-2.988998e-09	2.992227e+00	1.560931e-07	7.505753e-08	8.103553e-08
0.155         	-3.136290e-09	2.987530e+00	1.534731e-07	7.360025e-08	7.987283e-08
0.16          	-3.283081e-09	2.982959e+00	1.586370e-07	7.603543e-08	8.260159e-08
0.165         	-3.429486e-09	2.978496e+00	1.628113e-07	7.797616e-08	8.483513e-08
0.17          	-3.575506e-09	2.974131e+00	1.578810e-07	7.536500e-08	8.251601e-08
0.175         	-3.721077e-09	2.969841e+00	1.696620e-07	8.110991e-08	8.855206e-08
0.18          	-3.866343e-09	2.965736e+00	1.623465e-07	7.730689e-08	8.503957e-08
0.185         	-4.010703e-09	2.961634e+00	1.645607e-07	7.826966e-08	8.629106e-08
0.19          	-4.154625e-09	2.957593e+00	1.616834e-07	7.668705e-08	8.499630e-08
0.195         	-4.297884e-09	2.953606e+00	1.649105e-07	7.815735e-08	8.675312e-08
0.2           	-4.440615e-09	2.949666e+00	1.650654e-07	7.809206e-08	8.697329e-08
0.205         	-4.582774e-09	2.945768e+00	1.676275e-07	7.923099e-08	8.839654e-08
0.21          	-4.724371e-09	2.941908e+00	1.772601e-07	8.390569e-08	9.335443e-08
0.215         	-4.865632e-09	2.938143e+00	1.718943e-07	8.108152e-08	9.081278e-08
0.22          	-5.006063e-09	2.934337e+00	1.759158e-07	8.295183e-08	9.296395e-08
0.225         	-5.145939e-09	2.930584e+00	1.717390e-07	8.072356e-08	9.101543e-08
0.23          	-5.285249e-09	2.926839e+00	1.738878e-07	8.165866e-08	9.222916e-08
0.235         	-5.423928e-09	2.923121e+00	1.718750e-07	8.051360e-08	9.136145e-08
