# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.368335e+01 -1.236928e-08 -1.432149e-20) (9.581072e-02 -1.869785e-11 5.695657e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.361377e-20 -2.916268e-18 -1.969204e-15) (-6.226540e-21 7.231199e-20 1.247337e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-9.704573e-01 2.012422e-08 6.763415e-21) (9.602446e-02 1.155305e-10 5.731661e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.221533e-21 2.068141e-19 3.410966e-15) (-2.933017e-21 4.633143e-20 1.390193e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((3.109997e-01 -6.148585e-09 3.680956e-21) (9.490502e-02 8.679913e-11 7.154121e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.672253e-21 -6.628275e-20 2.199455e-15) (-3.153897e-21 4.829760e-20 8.225448e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.145859e-01 1.704136e-09 4.135132e-21) (9.406924e-02 1.475446e-10 8.546357e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.154441e-22 -2.442776e-20 6.507458e-16) (-3.087045e-21 4.768534e-20 1.226528e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.034480e-01 3.827737e-09 4.125104e-21) (9.339868e-02 1.678092e-10 9.988103e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.554195e-22 -2.205318e-20 -5.370426e-16) (-3.064036e-21 4.744264e-20 1.243399e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((8.662177e-02 -1.900965e-09 4.160459e-21) (9.283121e-02 1.764838e-10 1.144851e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.651978e-22 -1.846699e-20 -3.032391e-16) (-3.045172e-21 4.721457e-20 1.211916e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((7.833836e-02 3.262404e-09 4.185055e-21) (9.233805e-02 1.829477e-10 1.292713e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.211407e-22 -1.670087e-20 -4.086650e-16) (-3.031134e-21 4.702102e-20 1.130071e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((7.338061e-02 7.290581e-09 4.205374e-21) (9.189891e-02 2.148239e-10 1.441930e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.950819e-22 -1.564328e-20 -1.524126e-15) (-3.019839e-21 4.684817e-20 6.765392e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((7.043768e-02 7.636667e-09 4.219837e-21) (9.150032e-02 2.336487e-10 1.592080e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.798004e-22 -1.501491e-20 -1.531995e-15) (-3.010350e-21 4.669047e-20 1.365799e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((6.861678e-02 6.193847e-09 4.230827e-21) (9.113285e-02 2.457836e-10 1.742925e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.704296e-22 -1.462553e-20 -1.197539e-15) (-3.002064e-21 4.654394e-20 -4.589856e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((6.744235e-02 7.135194e-09 4.239107e-21) (9.078972e-02 2.532092e-10 1.894334e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.644045e-22 -1.437381e-20 -1.244460e-15) (-2.994610e-21 4.640594e-20 -1.093458e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((6.664609e-02 7.343530e-09 4.243953e-21) (9.046597e-02 2.577139e-10 2.046127e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.602907e-22 -1.420259e-20 -1.102476e-15) (-2.987749e-21 4.627461e-20 -1.758086e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((6.607648e-02 7.980281e-09 4.246650e-21) (9.015787e-02 2.603183e-10 2.198197e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.573292e-22 -1.407959e-20 -9.397687e-16) (-2.981327e-21 4.614863e-20 -2.444266e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((6.564735e-02 8.153359e-09 4.247360e-21) (8.986262e-02 2.610769e-10 2.350459e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.550966e-22 -1.398644e-20 -9.105655e-16) (-2.975240e-21 4.602701e-20 -3.146415e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((6.530916e-02 7.948564e-09 4.246595e-21) (8.957803e-02 2.605438e-10 2.502851e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.533522e-22 -1.391260e-20 -5.686636e-16) (-2.969418e-21 4.590904e-20 -3.860314e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((6.503313e-02 7.606443e-09 4.244665e-21) (8.930242e-02 2.591480e-10 2.655331e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.519555e-22 -1.385192e-20 -7.100472e-16) (-2.963811e-21 4.579415e-20 -4.583210e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.085         	((6.480210e-02 7.075921e-09 4.241884e-21) (8.903445e-02 2.574024e-10 2.807869e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.508241e-22 -1.380074e-20 -6.811689e-16) (-2.958385e-21 4.568193e-20 -5.312709e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((6.460532e-02 6.290646e-09 4.238619e-21) (8.877306e-02 2.563185e-10 2.960462e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.499143e-22 -1.375676e-20 -5.173551e-16) (-2.953114e-21 4.557202e-20 -6.047286e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095         	((6.443965e-02 6.515055e-09 4.232174e-21) (8.851739e-02 2.542237e-10 3.112873e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.490375e-22 -1.371941e-20 -4.337456e-16) (-2.947979e-21 4.546417e-20 -6.786295e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((6.429715e-02 6.048517e-09 4.226394e-21) (8.826676e-02 2.514479e-10 3.265131e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.483285e-22 -1.368690e-20 -3.828564e-16) (-2.942965e-21 4.535815e-20 -7.526665e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.105         	((6.417445e-02 6.212187e-09 4.220629e-21) (8.802059e-02 2.477351e-10 3.417269e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.477539e-22 -1.365854e-20 -4.227496e-16) (-2.938060e-21 4.525380e-20 -8.267730e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.11          	((6.406948e-02 8.413511e-09 4.214495e-21) (8.777841e-02 2.439043e-10 3.569272e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.472763e-22 -1.363389e-20 -3.732155e-16) (-2.933256e-21 4.515096e-20 -9.009886e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.115         	((6.398008e-02 6.807548e-09 4.208072e-21) (8.753986e-02 2.388207e-10 3.721121e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.468847e-22 -1.361250e-20 -2.329320e-16) (-2.928546e-21 4.504951e-20 -9.753848e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.12          	((6.390444e-02 7.600419e-09 4.201388e-21) (8.730459e-02 2.340933e-10 3.872797e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.465670e-22 -1.359399e-20 -4.212582e-16) (-2.923924e-21 4.494936e-20 -1.049719e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.125         	((6.384138e-02 8.501599e-09 4.194084e-21) (8.707233e-02 2.277735e-10 4.024248e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.462930e-22 -1.357813e-20 -1.484711e-16) (-2.919386e-21 4.485041e-20 -1.124093e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.13          	((6.379087e-02 7.208996e-09 4.185294e-21) (8.684285e-02 2.226870e-10 4.175341e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.459992e-22 -1.356493e-20 -3.159023e-16) (-2.914927e-21 4.475259e-20 -1.198540e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.135         	((6.374674e-02 7.427767e-09 4.179299e-21) (8.661595e-02 2.171196e-10 4.326284e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.458901e-22 -1.355298e-20 -2.669873e-16) (-2.910544e-21 4.465584e-20 -1.272701e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.14          	((6.371221e-02 7.328589e-09 4.171271e-21) (8.639146e-02 2.118865e-10 4.476956e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.457487e-22 -1.354308e-20 -3.017697e-16) (-2.906234e-21 4.456010e-20 -1.346796e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.145         	((6.368409e-02 7.655467e-09 4.164058e-21) (8.616924e-02 2.061772e-10 4.627388e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.456822e-22 -1.353448e-20 -1.058817e-16) (-2.901994e-21 4.446533e-20 -1.420662e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.15          	((6.366220e-02 7.604437e-09 4.156376e-21) (8.594914e-02 2.002159e-10 4.777554e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.456385e-22 -1.352719e-20 -1.984985e-16) (-2.897824e-21 4.437147e-20 -1.494497e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.155         	((6.364544e-02 7.479310e-09 4.148732e-21) (8.573108e-02 1.943442e-10 4.927445e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.456301e-22 -1.352095e-20 -3.396115e-16) (-2.893720e-21 4.427850e-20 -1.568142e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.16          	((6.363303e-02 7.743660e-09 4.141020e-21) (8.551493e-02 1.881911e-10 5.077053e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.456508e-22 -1.351561e-20 -2.592692e-16) (-2.889681e-21 4.418638e-20 -1.641538e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.165         	((6.362420e-02 7.958761e-09 4.133340e-21) (8.530061e-02 1.818036e-10 5.226374e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.457016e-22 -1.351099e-20 -2.617873e-16) (-2.885705e-21 4.409507e-20 -1.714740e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.17          	((6.361850e-02 7.718279e-09 4.124931e-21) (8.508805e-02 1.757716e-10 5.375377e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.457859e-22 -1.350702e-20 -1.420727e-16) (-2.881791e-21 4.400456e-20 -1.787751e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.175         	((6.361487e-02 8.314937e-09 4.116919e-21) (8.487718e-02 1.681611e-10 5.524079e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.459071e-22 -1.350344e-20 -3.045686e-16) (-2.877938e-21 4.391481e-20 -1.860535e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.18          	((6.361889e-02 7.956453e-09 4.106342e-21) (8.466793e-02 1.608698e-10 5.672239e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.457932e-22 -1.350160e-20 -2.719552e-16) (-2.874150e-21 4.382580e-20 -1.933169e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.185         	((6.362146e-02 8.074870e-09 4.097954e-21) (8.446023e-02 1.531661e-10 5.819990e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.458521e-22 -1.349935e-20 -2.873696e-16) (-2.870420e-21 4.373750e-20 -2.005349e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.19          	((6.362559e-02 7.938611e-09 4.089360e-21) (8.425405e-02 1.455569e-10 5.967351e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.459130e-22 -1.349742e-20 -2.472304e-16) (-2.866748e-21 4.364990e-20 -2.077310e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.195         	((6.363093e-02 8.107675e-09 4.080786e-21) (8.404934e-02 1.378488e-10 6.114315e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.459815e-22 -1.349573e-20 -2.779314e-16) (-2.863134e-21 4.356298e-20 -2.148939e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.2           	((6.363723e-02 8.123348e-09 4.072185e-21) (8.384605e-02 1.299199e-10 6.260875e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.460554e-22 -1.349423e-20 -2.965164e-16) (-2.859576e-21 4.347673e-20 -2.220305e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.205         	((6.364425e-02 8.259574e-09 4.063561e-21) (8.364415e-02 1.218024e-10 6.407027e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.461336e-22 -1.349286e-20 -2.805784e-16) (-2.856073e-21 4.339112e-20 -2.291384e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.21          	((6.365180e-02 8.749736e-09 4.054915e-21) (8.344360e-02 1.132701e-10 6.552762e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.462150e-22 -1.349159e-20 -2.185487e-16) (-2.852624e-21 4.330615e-20 -2.362183e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.215         	((6.366281e-02 8.490274e-09 4.044699e-21) (8.324437e-02 1.044411e-10 6.697938e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.461576e-22 -1.349112e-20 -2.167333e-16) (-2.849233e-21 4.322179e-20 -2.432814e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.22          	((6.367043e-02 8.699683e-09 4.036672e-21) (8.304642e-02 9.610589e-11 6.842714e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.462751e-22 -1.348983e-20 -4.289112e-16) (-2.845893e-21 4.313803e-20 -2.503027e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.225         	((6.367946e-02 8.499514e-09 4.027697e-21) (8.284973e-02 8.743552e-11 6.987041e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.463261e-22 -1.348886e-20 -3.592673e-16) (-2.842606e-21 4.305487e-20 -2.572966e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.23          	((6.368769e-02 8.615812e-09 4.019236e-21) (8.265428e-02 7.857921e-11 7.130944e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.464157e-22 -1.348768e-20 -3.583659e-16) (-2.839369e-21 4.297229e-20 -2.642621e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.235         	((6.369602e-02 8.524019e-09 4.010549e-21) (8.246005e-02 6.973345e-11 7.274406e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.464921e-22 -1.348653e-20 -3.955731e-16) (-2.836183e-21 4.289028e-20 -2.711960e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.24          	((6.370399e-02 8.558328e-09 4.001953e-21) (8.226700e-02 6.060191e-11 7.417427e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.465757e-22 -1.348528e-20 -4.037931e-16) (-2.833046e-21 4.280883e-20 -2.780991e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.245         	((6.371167e-02 8.631395e-09 3.993344e-21) (8.207512e-02 5.127984e-11 7.560003e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.466599e-22 -1.348396e-20 -4.159239e-16) (-2.829959e-21 4.272794e-20 -2.849720e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.25          	((6.371906e-02 8.069517e-09 3.984284e-21) (8.188439e-02 4.165937e-11 7.702108e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.467461e-22 -1.348257e-20 -4.042014e-16) (-2.826919e-21 4.264758e-20 -2.918148e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
