# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
100.005       	4.897631e-03	1.537371e+00	5.399516e-01	2.748734e-01	2.650782e-01
100.01        	5.031308e-03	1.537365e+00	5.365276e-01	2.732951e-01	2.632325e-01
100.015       	5.164795e-03	1.537304e+00	5.330880e-01	2.717088e-01	2.613792e-01
100.02        	5.298087e-03	1.537137e+00	5.296960e-01	2.701461e-01	2.595499e-01
100.025       	5.431179e-03	1.537172e+00	5.260885e-01	2.684754e-01	2.576131e-01
100.03        	5.564065e-03	1.537151e+00	5.225818e-01	2.668549e-01	2.557268e-01
100.035       	5.696742e-03	1.537125e+00	5.190318e-01	2.652127e-01	2.538192e-01
100.04        	5.829203e-03	1.537076e+00	5.155467e-01	2.636026e-01	2.519442e-01
100.045       	5.961443e-03	1.537024e+00	5.118831e-01	2.619030e-01	2.499801e-01
100.05        	6.093458e-03	1.536998e+00	5.082615e-01	2.602242e-01	2.480373e-01
100.055       	6.225242e-03	1.536951e+00	5.046803e-01	2.585654e-01	2.461149e-01
100.06        	6.356791e-03	1.536946e+00	5.009735e-01	2.568435e-01	2.441300e-01
100.065       	6.488100e-03	1.536826e+00	4.972988e-01	2.551375e-01	2.421613e-01
100.07        	6.619164e-03	1.536720e+00	4.936704e-01	2.534544e-01	2.402160e-01
100.075       	6.749977e-03	1.536673e+00	4.899915e-01	2.517457e-01	2.382458e-01
100.08        	6.880535e-03	1.536635e+00	4.862783e-01	2.500197e-01	2.362586e-01
100.085       	7.010834e-03	1.536592e+00	4.826090e-01	2.483153e-01	2.342937e-01
100.09        	7.140867e-03	1.536507e+00	4.788333e-01	2.465575e-01	2.322758e-01
100.095       	7.270631e-03	1.536445e+00	4.750395e-01	2.447904e-01	2.302491e-01
100.1         	7.400120e-03	1.536396e+00	4.712459e-01	2.430231e-01	2.282228e-01
100.105       	7.529329e-03	1.536344e+00	4.673998e-01	2.412292e-01	2.261705e-01
100.11        	7.658254e-03	1.536271e+00	4.636510e-01	2.394838e-01	2.241673e-01
100.115       	7.786889e-03	1.536236e+00	4.597233e-01	2.376486e-01	2.220748e-01
100.12        	7.915230e-03	1.536198e+00	4.559647e-01	2.358976e-01	2.200671e-01
100.125       	8.043272e-03	1.536073e+00	4.520032e-01	2.340449e-01	2.179583e-01
100.13        	8.171009e-03	1.535962e+00	4.482113e-01	2.322767e-01	2.159346e-01
100.135       	8.298438e-03	1.535890e+00	4.442014e-01	2.303991e-01	2.138023e-01
100.14        	8.425553e-03	1.535668e+00	4.404363e-01	2.286437e-01	2.117926e-01
100.145       	8.552350e-03	1.535413e+00	4.365670e-01	2.268359e-01	2.097312e-01
100.15        	8.678824e-03	1.535456e+00	4.326034e-01	2.249805e-01	2.076229e-01
100.155       	8.804971e-03	1.535363e+00	4.286357e-01	2.231228e-01	2.055129e-01
100.16        	8.930787e-03	1.535301e+00	4.246990e-01	2.212803e-01	2.034187e-01
100.165       	9.056265e-03	1.535223e+00	4.206446e-01	2.193786e-01	2.012660e-01
100.17        	9.181403e-03	1.535203e+00	4.166647e-01	2.175137e-01	1.991509e-01
100.175       	9.306195e-03	1.535058e+00	4.126403e-01	2.156263e-01	1.970139e-01
100.18        	9.430637e-03	1.534962e+00	4.086213e-01	2.137413e-01	1.948800e-01
100.185       	9.554724e-03	1.534937e+00	4.045455e-01	2.118275e-01	1.927180e-01
100.19        	9.678451e-03	1.534948e+00	4.004673e-01	2.099121e-01	1.905552e-01
100.195       	9.801814e-03	1.534753e+00	3.963499e-01	2.079768e-01	1.883732e-01
100.2         	9.924809e-03	1.534583e+00	3.922670e-01	2.060583e-01	1.862087e-01
100.205       	1.004743e-02	1.534485e+00	3.881136e-01	2.041042e-01	1.840093e-01
100.21        	1.016968e-02	1.534407e+00	3.839306e-01	2.021350e-01	1.817956e-01
100.215       	1.029154e-02	1.534303e+00	3.797931e-01	2.001881e-01	1.796050e-01
100.22        	1.041302e-02	1.534234e+00	3.756097e-01	1.982179e-01	1.773918e-01
100.225       	1.053410e-02	1.534094e+00	3.714811e-01	1.962747e-01	1.752064e-01
100.23        	1.065479e-02	1.533998e+00	3.673203e-01	1.943149e-01	1.730054e-01
100.235       	1.077509e-02	1.533889e+00	3.631022e-01	1.923262e-01	1.707760e-01
100.24        	1.089497e-02	1.533774e+00	3.588137e-01	1.903018e-01	1.685119e-01
100.245       	1.101445e-02	1.533662e+00	3.545987e-01	1.883138e-01	1.662849e-01
100.25        	1.113352e-02	1.533551e+00	3.503674e-01	1.863172e-01	1.640502e-01
100.255       	1.125217e-02	1.533468e+00	3.460471e-01	1.842757e-01	1.617714e-01
100.26        	1.137040e-02	1.533365e+00	3.417759e-01	1.822583e-01	1.595175e-01
100.265       	1.148820e-02	1.533318e+00	3.374966e-01	1.802365e-01	1.572601e-01
100.27        	1.160557e-02	1.533158e+00	3.332313e-01	1.782212e-01	1.550101e-01
100.275       	1.172250e-02	1.533021e+00	3.288886e-01	1.761668e-01	1.527218e-01
100.28        	1.183900e-02	1.532976e+00	3.244628e-01	1.740704e-01	1.503924e-01
100.285       	1.195505e-02	1.532651e+00	3.203208e-01	1.721155e-01	1.482053e-01
100.29        	1.207066e-02	1.532369e+00	3.161343e-01	1.701378e-01	1.459965e-01
100.295       	1.218581e-02	1.532316e+00	3.116773e-01	1.680245e-01	1.436529e-01
100.3         	1.230051e-02	1.532178e+00	3.072637e-01	1.659324e-01	1.413313e-01
100.305       	1.241475e-02	1.532055e+00	3.029152e-01	1.638723e-01	1.390428e-01
100.31        	1.252853e-02	1.531881e+00	2.985315e-01	1.617943e-01	1.367372e-01
100.315       	1.264184e-02	1.531779e+00	2.940644e-01	1.596740e-01	1.343904e-01
100.32        	1.275467e-02	1.531874e+00	2.894738e-01	1.574916e-01	1.319822e-01
100.325       	1.286703e-02	1.531737e+00	2.851659e-01	1.554500e-01	1.297159e-01
100.33        	1.297892e-02	1.531650e+00	2.806721e-01	1.533150e-01	1.273571e-01
100.335       	1.309031e-02	1.531551e+00	2.762414e-01	1.512110e-01	1.250304e-01
100.34        	1.320123e-02	1.531390e+00	2.717284e-01	1.490654e-01	1.226630e-01
100.345       	1.331165e-02	1.531332e+00	2.671987e-01	1.469110e-01	1.202877e-01
100.35        	1.342158e-02	1.531071e+00	2.627006e-01	1.447719e-01	1.179287e-01
100.355       	1.353100e-02	1.530921e+00	2.583042e-01	1.426831e-01	1.156211e-01
100.36        	1.363993e-02	1.530767e+00	2.538236e-01	1.405517e-01	1.132719e-01
100.365       	1.374835e-02	1.530655e+00	2.492729e-01	1.383848e-01	1.108881e-01
100.37        	1.385626e-02	1.530501e+00	2.447719e-01	1.362422e-01	1.085297e-01
100.375       	1.396365e-02	1.530390e+00	2.402049e-01	1.340661e-01	1.061388e-01
100.38        	1.407053e-02	1.530232e+00	2.356397e-01	1.318904e-01	1.037493e-01
100.385       	1.417689e-02	1.530138e+00	2.310905e-01	1.297221e-01	1.013684e-01
100.39        	1.428272e-02	1.529992e+00	2.265122e-01	1.275388e-01	9.897338e-02
100.395       	1.438802e-02	1.529947e+00	2.219060e-01	1.253410e-01	9.656497e-02
100.4         	1.449279e-02	1.529797e+00	2.173350e-01	1.231603e-01	9.417470e-02
100.405       	1.459702e-02	1.529441e+00	2.129522e-01	1.210731e-01	9.187907e-02
100.41        	1.470071e-02	1.529145e+00	2.084392e-01	1.189203e-01	8.951888e-02
100.415       	1.480386e-02	1.529085e+00	2.037704e-01	1.166891e-01	8.708134e-02
100.42        	1.490647e-02	1.528950e+00	1.990903e-01	1.144516e-01	8.463868e-02
100.425       	1.500852e-02	1.528834e+00	1.944679e-01	1.122425e-01	8.222544e-02
100.43        	1.511002e-02	1.528668e+00	1.897559e-01	1.099880e-01	7.976795e-02
100.435       	1.521096e-02	1.528604e+00	1.850827e-01	1.077523e-01	7.733036e-02
100.44        	1.531135e-02	1.528478e+00	1.804438e-01	1.055332e-01	7.491054e-02
100.445       	1.541117e-02	1.528274e+00	1.757297e-01	1.032760e-01	7.245366e-02
100.45        	1.551042e-02	1.528122e+00	1.710693e-01	1.010451e-01	7.002421e-02
100.455       	1.560911e-02	1.528089e+00	1.663589e-01	9.878858e-02	6.757037e-02
100.46        	1.570722e-02	1.528034e+00	1.617174e-01	9.656590e-02	6.515146e-02
100.465       	1.580475e-02	1.527877e+00	1.570059e-01	9.430772e-02	6.269822e-02
100.47        	1.590170e-02	1.527701e+00	1.523854e-01	9.209441e-02	6.029101e-02
100.475       	1.599807e-02	1.527581e+00	1.476229e-01	8.980951e-02	5.781336e-02
100.48        	1.609386e-02	1.527427e+00	1.428599e-01	8.752380e-02	5.533608e-02
100.485       	1.618905e-02	1.527297e+00	1.380932e-01	8.523563e-02	5.285753e-02
100.49        	1.628365e-02	1.527156e+00	1.333969e-01	8.298209e-02	5.041479e-02
100.495       	1.637766e-02	1.527062e+00	1.285670e-01	8.066116e-02	4.790584e-02
100.5         	1.647107e-02	1.526989e+00	1.238577e-01	7.839991e-02	4.545778e-02
100.505       	1.656387e-02	1.526807e+00	1.190686e-01	7.609815e-02	4.297041e-02
100.51        	1.665607e-02	1.526309e+00	1.145801e-01	7.394614e-02	4.063400e-02
100.515       	1.674766e-02	1.526185e+00	1.097539e-01	7.162462e-02	3.812930e-02
100.52        	1.683864e-02	1.526030e+00	1.050788e-01	6.937802e-02	3.570073e-02
100.525       	1.692901e-02	1.525815e+00	1.002107e-01	6.703436e-02	3.317634e-02
100.53        	1.701876e-02	1.525743e+00	9.544313e-02	6.474033e-02	3.070280e-02
100.535       	1.710789e-02	1.525694e+00	9.059438e-02	6.240508e-02	2.818929e-02
100.54        	1.719640e-02	1.525575e+00	8.579328e-02	6.009304e-02	2.570024e-02
100.545       	1.728429e-02	1.525426e+00	8.100071e-02	5.778464e-02	2.321607e-02
100.55        	1.737155e-02	1.525220e+00	7.616074e-02	5.545192e-02	2.070883e-02
100.555       	1.745817e-02	1.525052e+00	7.138840e-02	5.315237e-02	1.823603e-02
100.56        	1.754417e-02	1.524886e+00	6.654463e-02	5.081648e-02	1.572815e-02
100.565       	1.762952e-02	1.524687e+00	6.166411e-02	4.846158e-02	1.320253e-02
100.57        	1.771424e-02	1.524653e+00	5.699613e-02	4.621230e-02	1.078382e-02
100.575       	1.779832e-02	1.524520e+00	5.202782e-02	4.381223e-02	8.215594e-03
100.58        	1.788175e-02	1.524519e+00	4.721877e-02	4.149114e-02	5.727632e-03
100.585       	1.796454e-02	1.524288e+00	4.241142e-02	3.917025e-02	3.241172e-03
100.59        	1.804668e-02	1.524251e+00	3.755584e-02	3.682459e-02	7.312428e-04
100.595       	1.812816e-02	1.524210e+00	3.259568e-02	3.442600e-02	-1.830318e-03
100.6         	1.820899e-02	1.523772e+00	2.798391e-02	3.220094e-02	-4.217031e-03
100.605       	1.828916e-02	1.523440e+00	2.323892e-02	2.990862e-02	-6.669698e-03
100.61        	1.836867e-02	1.523363e+00	1.839621e-02	2.756677e-02	-9.170562e-03
100.615       	1.844752e-02	1.523196e+00	1.355088e-02	2.522296e-02	-1.167207e-02
100.62        	1.852570e-02	1.523015e+00	8.697342e-03	2.287437e-02	-1.417703e-02
100.625       	1.860321e-02	1.523031e+00	3.843857e-03	2.052514e-02	-1.668129e-02
100.63        	1.868006e-02	1.522966e+00	-1.118545e-03	1.812079e-02	-1.923933e-02
100.635       	1.875623e-02	1.522822e+00	-5.901414e-03	1.580553e-02	-2.170694e-02
100.64        	1.883173e-02	1.522652e+00	-1.076011e-02	1.345168e-02	-2.421179e-02
100.645       	1.890655e-02	1.522541e+00	-1.567198e-02	1.107056e-02	-2.674255e-02
100.65        	1.898070e-02	1.522396e+00	-2.044693e-02	8.757233e-03	-2.920417e-02
100.655       	1.905416e-02	1.522264e+00	-2.529967e-02	6.404325e-03	-3.170400e-02
100.66        	1.912694e-02	1.522116e+00	-3.016323e-02	4.045328e-03	-3.420855e-02
100.665       	1.919903e-02	1.521966e+00	-3.500280e-02	1.697636e-03	-3.670043e-02
100.67        	1.927044e-02	1.521823e+00	-3.987171e-02	-6.654183e-04	-3.920630e-02
100.675       	1.934115e-02	1.521683e+00	-4.478829e-02	-3.052993e-03	-4.173530e-02
100.68        	1.941117e-02	1.521624e+00	-4.952277e-02	-5.350212e-03	-4.417256e-02
100.685       	1.948050e-02	1.521513e+00	-5.440731e-02	-7.723153e-03	-4.668415e-02
100.69        	1.954913e-02	1.521220e+00	-5.891222e-02	-9.906982e-03	-4.900524e-02
100.695       	1.961706e-02	1.521027e+00	-6.391320e-02	-1.233954e-02	-5.157366e-02
100.7         	1.968429e-02	1.520863e+00	-6.855854e-02	-1.459498e-02	-5.396356e-02
100.705       	1.975082e-02	1.520663e+00	-7.344798e-02	-1.697317e-02	-5.647481e-02
100.71        	1.981664e-02	1.520705e+00	-7.839512e-02	-1.938092e-02	-5.901420e-02
100.715       	1.988175e-02	1.520508e+00	-8.322207e-02	-2.172928e-02	-6.149279e-02
100.72        	1.994616e-02	1.520418e+00	-8.809907e-02	-2.410338e-02	-6.399569e-02
100.725       	2.000985e-02	1.520304e+00	-9.284192e-02	-2.641111e-02	-6.643081e-02
