# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
40.005        	((3.951324e-02 -1.270168e-05 7.394241e-22) (1.141035e-02 -3.379342e-06 5.422069e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544600e-22 -4.853390e-21 -3.297173e-12) (-5.594656e-22 -8.768787e-24 -5.167490e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.01         	((3.950948e-02 -1.312993e-05 7.386367e-22) (1.141032e-02 -3.380457e-06 5.422055e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.543544e-22 -4.852924e-21 -3.619999e-12) (-5.594392e-22 -8.769325e-24 -5.186348e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.015        	((3.950948e-02 -1.306254e-05 7.386325e-22) (1.141029e-02 -3.381520e-06 5.422044e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.543652e-22 -4.852924e-21 -3.597260e-12) (-5.594376e-22 -8.768398e-24 -5.205113e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.02         	((3.950935e-02 -1.298178e-05 7.386299e-22) (1.141026e-02 -3.382529e-06 5.422033e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.543757e-22 -4.852908e-21 -3.576749e-12) (-5.594360e-22 -8.767664e-24 -5.223828e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.025        	((3.950918e-02 -1.291610e-05 7.386294e-22) (1.141023e-02 -3.383471e-06 5.422021e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.543837e-22 -4.852889e-21 -3.566232e-12) (-5.594343e-22 -8.767036e-24 -5.242493e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.03         	((3.950901e-02 -1.284002e-05 7.386292e-22) (1.141020e-02 -3.384362e-06 5.422009e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.543929e-22 -4.852868e-21 -3.554781e-12) (-5.594327e-22 -8.766454e-24 -5.261107e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.035        	((3.950883e-02 -1.277125e-05 7.386296e-22) (1.141017e-02 -3.385196e-06 5.421998e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544008e-22 -4.852846e-21 -3.547586e-12) (-5.594310e-22 -8.765913e-24 -5.279669e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.04         	((3.950864e-02 -1.269839e-05 7.386301e-22) (1.141013e-02 -3.385979e-06 5.421986e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544092e-22 -4.852824e-21 -3.540212e-12) (-5.594294e-22 -8.765391e-24 -5.298179e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.045        	((3.950845e-02 -1.262827e-05 7.386310e-22) (1.141010e-02 -3.386707e-06 5.421974e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544172e-22 -4.852801e-21 -3.534581e-12) (-5.594277e-22 -8.764886e-24 -5.316637e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.05         	((3.950826e-02 -1.255613e-05 7.386310e-22) (1.141007e-02 -3.387381e-06 5.421962e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544254e-22 -4.852778e-21 -3.529063e-12) (-5.594260e-22 -8.764389e-24 -5.335043e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.055        	((3.950807e-02 -1.248328e-05 7.386320e-22) (1.141004e-02 -3.387999e-06 5.421950e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544337e-22 -4.852755e-21 -3.524193e-12) (-5.594243e-22 -8.763899e-24 -5.353395e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.06         	((3.950788e-02 -1.239865e-05 7.386329e-22) (1.141001e-02 -3.388552e-06 5.421938e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544436e-22 -4.852733e-21 -3.519336e-12) (-5.594226e-22 -8.763406e-24 -5.371695e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.065        	((3.950768e-02 -1.234230e-05 7.386336e-22) (1.140998e-02 -3.389061e-06 5.421927e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544496e-22 -4.852709e-21 -3.514954e-12) (-5.594208e-22 -8.762931e-24 -5.389941e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.07         	((3.950749e-02 -1.227261e-05 7.386337e-22) (1.140995e-02 -3.389519e-06 5.421915e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544574e-22 -4.852686e-21 -3.510592e-12) (-5.594191e-22 -8.762451e-24 -5.408133e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.075        	((3.950730e-02 -1.220030e-05 7.386348e-22) (1.140992e-02 -3.389923e-06 5.421903e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544656e-22 -4.852663e-21 -3.506260e-12) (-5.594173e-22 -8.761970e-24 -5.426270e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.08         	((3.950710e-02 -1.212799e-05 7.386357e-22) (1.140988e-02 -3.390270e-06 5.421891e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544738e-22 -4.852640e-21 -3.501988e-12) (-5.594155e-22 -8.761489e-24 -5.444354e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.085        	((3.950691e-02 -1.205511e-05 7.386366e-22) (1.140985e-02 -3.390562e-06 5.421879e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544820e-22 -4.852617e-21 -3.497759e-12) (-5.594138e-22 -8.761008e-24 -5.462382e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.09         	((3.950671e-02 -1.198194e-05 7.386369e-22) (1.140982e-02 -3.390799e-06 5.421868e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544903e-22 -4.852594e-21 -3.493567e-12) (-5.594119e-22 -8.760526e-24 -5.480355e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.095        	((3.950652e-02 -1.190845e-05 7.386380e-22) (1.140979e-02 -3.390978e-06 5.421856e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.544987e-22 -4.852570e-21 -3.489206e-12) (-5.594101e-22 -8.760043e-24 -5.498273e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.1          	((3.950632e-02 -1.183455e-05 7.386390e-22) (1.140976e-02 -3.391102e-06 5.421844e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.545070e-22 -4.852547e-21 -3.484987e-12) (-5.594083e-22 -8.759558e-24 -5.516134e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.105        	((3.950613e-02 -1.176033e-05 7.386394e-22) (1.140973e-02 -3.391169e-06 5.421832e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.545155e-22 -4.852524e-21 -3.480735e-12) (-5.594065e-22 -8.759070e-24 -5.533940e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.11         	((3.950593e-02 -1.168563e-05 7.386405e-22) (1.140970e-02 -3.391179e-06 5.421821e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.545240e-22 -4.852501e-21 -3.476354e-12) (-5.594046e-22 -8.758582e-24 -5.551688e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.115        	((3.950574e-02 -1.161072e-05 7.386415e-22) (1.140967e-02 -3.391132e-06 5.421809e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.545325e-22 -4.852478e-21 -3.472001e-12) (-5.594027e-22 -8.758090e-24 -5.569379e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.12         	((3.950554e-02 -1.153531e-05 7.386418e-22) (1.140963e-02 -3.391029e-06 5.421797e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.545411e-22 -4.852454e-21 -3.467679e-12) (-5.594008e-22 -8.757597e-24 -5.587013e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.125        	((3.950535e-02 -1.145966e-05 7.386430e-22) (1.140960e-02 -3.390868e-06 5.421785e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.545497e-22 -4.852431e-21 -3.463121e-12) (-5.593989e-22 -8.757101e-24 -5.604588e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.13         	((3.950515e-02 -1.138351e-05 7.386440e-22) (1.140957e-02 -3.390650e-06 5.421773e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.545584e-22 -4.852408e-21 -3.458661e-12) (-5.593970e-22 -8.756602e-24 -5.622106e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40.135        	((3.950496e-02 -1.130681e-05 7.386449e-22) (1.140954e-02 -3.390374e-06 5.421762e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.545672e-22 -4.852385e-21 -3.454133e-12) (-5.593951e-22 -8.756101e-24 -5.639564e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
