# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
40.005        	-1.033505e-05	1.018472e+00	-3.216204e-04	-1.711452e-04	-1.504752e-04
40.01         	-1.037277e-05	1.018396e+00	-3.302078e-04	-1.754767e-04	-1.547311e-04
40.015        	-1.041030e-05	1.018395e+00	-3.288812e-04	-1.748509e-04	-1.540303e-04
40.02         	-1.044773e-05	1.018392e+00	-3.272861e-04	-1.740908e-04	-1.531953e-04
40.025        	-1.048506e-05	1.018388e+00	-3.259913e-04	-1.734807e-04	-1.525106e-04
40.03         	-1.052229e-05	1.018384e+00	-3.244876e-04	-1.727661e-04	-1.517215e-04
40.035        	-1.055941e-05	1.018380e+00	-3.231289e-04	-1.721239e-04	-1.510050e-04
40.04         	-1.059643e-05	1.018376e+00	-3.216873e-04	-1.714401e-04	-1.502472e-04
40.045        	-1.063335e-05	1.018371e+00	-3.202995e-04	-1.707831e-04	-1.495164e-04
40.05         	-1.067016e-05	1.018367e+00	-3.188701e-04	-1.701052e-04	-1.487649e-04
40.055        	-1.070686e-05	1.018362e+00	-3.174256e-04	-1.694196e-04	-1.480059e-04
40.06         	-1.074346e-05	1.018358e+00	-3.157440e-04	-1.686155e-04	-1.471285e-04
40.065        	-1.077995e-05	1.018353e+00	-3.146272e-04	-1.680935e-04	-1.465336e-04
40.07         	-1.081634e-05	1.018349e+00	-3.132426e-04	-1.674376e-04	-1.458050e-04
40.075        	-1.085261e-05	1.018344e+00	-3.118045e-04	-1.667549e-04	-1.450496e-04
40.08         	-1.088878e-05	1.018340e+00	-3.103651e-04	-1.660714e-04	-1.442938e-04
40.085        	-1.092483e-05	1.018335e+00	-3.089135e-04	-1.653816e-04	-1.435319e-04
40.09         	-1.096078e-05	1.018331e+00	-3.074548e-04	-1.646882e-04	-1.427666e-04
40.095        	-1.099662e-05	1.018326e+00	-3.059885e-04	-1.639909e-04	-1.419976e-04
